SE,Num..CASOS.2014,Num..CASOS.2015,Num..CASOS.2016,Num..CASOS.2017,Num..CASOS.2018,Num..CASOS.2019,Num..CASOS.2020,Num..CASOS.2021
1,8,5,8,10,3,1,11,5
2,10,7,11,12,2,3,28,15
3,2,8,27,5,7,3,16,12
4,8,5,36,8,3,4,26,13
5,11,9,27,6,5,2,17,13
6,6,8,25,7,4,1,13,21
7,10,8,16,6,5,2,31,23
8,14,6,16,3,3,2,28,15
9,5,15,19,7,2,8,26,16
10,6,21,14,4,1,11,44,19
11,7,20,7,4,NA,9,26,15
12,6,9,17,NA,5,7,28,22
13,1,14,7,4,5,9,20,21
14,6,17,8,2,4,20,24,14
15,8,13,9,8,7,10,13,19
16,10,20,10,3,1,20,24,14
17,8,10,8,3,3,20,17,14
18,2,15,15,5,3,27,19,11
19,6,14,13,1,1,30,14,11
20,8,14,15,3,7,22,21,10
21,6,12,6,NA,6,28,15,15
22,3,12,18,NA,8,15,17,11
23,3,15,4,NA,4,22,8,8
24,9,12,8,3,5,13,10,9
25,5,14,7,3,6,22,12,9
26,5,10,5,NA,3,21,3,13
27,2,11,4,2,2,15,4,11
28,2,7,4,2,3,13,3,2
29,1,10,7,1,NA,3,2,10
30,6,6,3,2,2,6,3,9
31,3,4,7,2,5,8,2,8
32,2,9,4,1,1,7,4,NA
33,2,14,5,1,3,8,2,5
34,NA,7,7,2,NA,15,6,8
35,1,4,2,2,3,6,4,12
36,NA,11,3,NA,NA,10,4,6
37,1,8,1,1,NA,14,7,4
38,3,6,10,2,4,7,2,3
39,1,2,6,2,NA,9,3,5
40,1,4,6,4,2,7,3,6
41,3,1,2,3,2,4,3,4
42,1,7,1,1,4,13,10,4
43,5,8,2,NA,4,4,6,7
44,5,6,2,3,NA,2,7,5
45,4,7,2,1,1,12,10,5
46,5,8,7,NA,4,11,13,9
47,5,15,3,NA,NA,8,8,9
48,6,20,3,2,NA,20,8,12
49,5,12,2,NA,2,16,8,9
50,5,16,1,1,NA,21,10,5
51,NA,7,1,1,5,12,16,14
52,4,9,4,NA,3,11,14,16
