Year,Canton,Ranking
2014,Guayaquil,1
2014,Machala,2
2014,Babahoyo,3
2014,Chone,4
2014,Santa Elena,5
2014,Portoviejo,7
2014,Esmeraldas,8
2014,Muisne,9
2014,Milagro,10
2014,Jipijapa,11
2014,Pasaje,12
2014,Quevedo,14
2014,Quito,16
2014,Naranjito,17
2014,Manta,18
2014,Santo Domingo,19
2015,Guayaquil,1
2015,Santo Domingo,2
2015,Buena Fe,3
2015,Lago Agrio,4
2015,Quevedo,5
2015,Portoviejo,6
2015,Milagro,7
2015,Santa Elena,8
2015,Manta,9
2015,Chone,10
2015,Machala,11
2015,El Guabo,13
2015,Orellana,14
2015,La Troncal,15
2015,San Lorenzo,16
2015,Babahoyo,17
2015,Loja,18
2015,Shushufindi,20
2016,Guayaquil,1
2016,Orellana,2
2016,Lago Agrio,3
2016,Santo Domingo,4
2016,Empalme,5
2016,Portoviejo,6
2016,Manta,7
2016,Santa Elena,8
2016,La Troncal,9
2016,Machala,10
2016,Chone,11
2016,Buena Fe,12
2016,Quito,13
2016,Milagro,14
2016,Santa Rosa,15
2016,Quevedo,16
2016,Pasaje,17
2016,Babahoyo,19
2016,Naranjito,20
2017,Guayaquil,1
2017,Santa Elena,2
2017,Machala,3
2017,Santo Domingo,4
2017,Lago Agrio,5
2017,Milagro,6
2017,Manta,7
2017,El Guabo,8
2017,Portoviejo,9
2017,Quevedo,10
2017,Empalme,11
2017,Ventanas,12
2017,Orellana,13
2017,Atacames,14
2017,Chone,15
2017,La Troncal,16
2017,Santa Rosa,18
2017,Esmeraldas,19
2017,Salinas,20
2018,Guayaquil,1
2018,Santo Domingo,2
2018,Manta,4
2018,Esmeraldas,5
2018,Empalme,6
2018,Orellana,7
2018,Machala,8
2018,Chone,9
2018,Ventanas,10
2018,Lago Agrio,11
2018,Portoviejo,12
2018,Santa Elena,13
2018,Buena Fe,14
2018,Quevedo,15
2018,Atacames,16
2018,Loja,17
2018,Salinas,18
2018,Milagro,19
2019,Esmeraldas,1
2019,Guayaquil,2
2019,Orellana,3
2019,Santo Domingo,4
2019,Quininde,5
2019,Manta,6
2019,Atacames,7
2019,San Lorenzo,8
2019,Machala,9
2019,Lago Agrio,10
2019,Muisne,12
2019,Huaquillas,13
2019,Quito,14
2019,Milagro,15
2019,Shushufindi,16
2019,Babahoyo,17
2019,Tena,18
2019,Loja,19
2019,Quevedo,20
2020,Guayaquil,1
2020,Manta,2
2020,Babahoyo,3
2020,Santo Domingo,4
2020,Quevedo,5
2020,Lago Agrio,6
2020,Tena,7
2020,Machala,8
2020,Orellana,9
2020,Jipijapa,10
2020,Portoviejo,11
2020,Esmeraldas,12
2020,Buena Fe,13
2020,Empalme,14
2020,Quininde,15
2020,Atacames,16
2020,Huaquillas,17
2020,Santa Rosa,19
2020,Quito,20
2021,Guayaquil,1
2021,Santo Domingo,2
2021,Esmeraldas,3
2021,Manta,4
2021,Quevedo,5
2021,Jipijapa,6
2021,Portoviejo,7
2021,Babahoyo,8
2021,Machala,9
2021,Milagro,10
2021,Pasaje,11
2021,Lago Agrio,12
2021,Quininde,13
2021,Huaquillas,14
2021,Tena,16
2021,Shushufindi,17
2021,Atacames,18
2021,Santa Elena,19
2021,Buena Fe,20
