"","Codes","Cantons","Tasa_2014","Tasa_2015","Tasa_2016","Tasa_2017","Tasa_2018","Tasa_2019","Tasa_2020","Tasa_2021"
"1","0115","Camilo Ponce Enriquez",0,0,0,0,0,0,0,0
"2","0111","Chordeleg",0,0,0,0,0,0,0,0
"3","0101","Cuenca",4.56608173988788,1.72204179051017,0.337840120541355,0.497290595074502,0,1.11861291997923,1.88384228472392,1.38852247323623
"4","0112","El Pan",0,0,0,0,0,0,0,0
"5","0102","Girón",0,0,0,0,0,0,0,7.69526741054252
"6","0114","Guachapala",0,0,0,0,0,0,0,0
"7","0103","Gualaceo",0,2.12974400477063,2.10921516103858,4.17929161007209,0,0,0,0
"8","0104","Nabón",0,0,0,0,0,0,0,0
"9","0110","Oña",0,0,0,0,0,0,0,0
"10","0105","Paute",0,0,3.5403242937053,0,0,0,3.42301636201821,0
"11","0106","Pucará",0,0,0,0,0,0,0,0
"12","0107","San Fernando",0,0,0,0,0,0,0,0
"13","0108","Santa Isabel",0,4.96919101570264,0,0,4.84730974309258,4.81093043394593,0,4.7438330170778
"14","0113","Sevilla de Oro",0,0,0,0,0,0,0,0
"15","0109","Sigsig",0,6.80573042501787,3.37495781302734,0,0,3.29989440337909,0,0
"16","0206","Caluma",0,0,0,0,0,0,0,0
"17","0202","Chillanes",5.6205035971223,28.3254022207115,11.4259597806216,5.76368876080692,17.4530222816918,0,11.8694362017804,5.99736116108912
"18","0203","Chimbo",0,0,0,0,0,0,0,0
"19","0204","Echeandía",0,0,0,0,0,0,0,0
"20","0201","Guaranda",0,8.77312693739887,3.85044857725925,1.90199043298812,1.87992893868612,4.64727205130588,0,1.81985277391059
"21","0207","Las Naves",0,0,0,0,0,0,0,0
"22","0205","San Miguel",0,0,0,0,0,0,3.44780030340643,0
"23","0301","Azogues",2.54404375755263,2.50259644381045,1.23134512141063,2.42433058171812,0,1.17605550982006,1.15907088877556,0
"24","0302","Biblián",0,0,0,0,0,0,0,0
