week,num. cases
1,8
2,10
3,2
4,8
5,11
6,6
7,10
8,14
9,5
10,6
11,7
12,6
13,1
14,6
15,8
16,10
17,8
18,2
19,6
20,8
21,6
22,3
23,3
24,9
25,5
26,5
27,2
28,2
29,1
30,6
31,3
32,2
33,2
34,0
35,1
36,0
37,1
38,3
39,1
40,1
41,3
42,1
43,5
44,5
45,4
46,5
47,5
48,6
49,5
50,5
51,0
52,4
53,5
54,7
55,8
56,5
57,9
58,8
59,8
60,6
61,15
62,21
63,20
64,9
65,14
66,17
67,13
68,20
69,10
70,15
71,14
72,14
73,12
74,12
75,15
76,12
77,14
78,10
79,11
80,7
81,10
82,6
83,4
84,9
85,14
86,7
87,4
88,11
89,8
90,6
91,2
92,4
93,1
94,7
95,8
96,6
97,7
98,8
99,15
100,20
101,12
102,16
103,7
104,9
105,8
106,11
107,27
108,36
109,27
110,25
111,16
112,16
113,19
114,14
115,7
116,17
117,7
118,8
119,9
120,10
121,8
122,15
123,13
124,15
125,6
126,18
127,4
128,8
129,7
130,5
131,4
132,4
133,7
134,3
135,7
136,4
137,5
138,7
139,2
140,3
141,1
142,10
143,6
144,6
145,2
146,1
147,2
148,2
149,2
150,7
151,3
152,3
153,2
154,1
155,1
156,4
157,10
158,12
159,5
160,8
161,6
162,7
163,6
164,3
165,7
166,4
167,4
168,0
169,4
170,2
171,8
172,3
173,3
174,5
175,1
176,3
177,0
178,0
179,0
180,3
181,3
182,0
183,2
184,2
185,1
186,2
187,2
188,1
189,1
190,2
191,2
192,0
193,1
194,2
195,2
196,4
197,3
198,1
199,0
200,3
201,1
202,0
203,0
204,2
205,0
206,1
207,1
208,0
209,3
210,2
211,7
212,3
213,5
214,4
215,5
216,3
217,2
218,1
219,0
220,5
221,5
222,4
223,7
224,1
225,3
226,3
227,1
228,7
229,6
230,8
231,4
232,5
233,6
234,3
235,2
236,3
237,0
238,2
239,5
240,1
241,3
242,0
243,3
244,0
245,0
246,4
247,0
248,2
249,2
250,4
251,4
252,0
253,1
254,4
255,0
256,0
257,2
258,0
259,5
260,3
261,1
262,3
263,3
264,4
265,2
266,1
267,2
268,2
269,8
270,11
271,9
272,7
273,9
274,20
275,10
276,20
277,20
278,27
279,30
280,22
281,28
282,15
283,22
284,13
285,22
286,21
287,15
288,13
289,3
290,6
291,8
292,7
293,8
294,15
295,6
296,10
297,14
298,7
299,9
300,7
301,4
302,13
303,4
304,2
305,12
306,11
307,8
308,20
309,16
310,21
311,12
312,11
313,11
314,28
315,16
316,26
317,17
318,13
319,31
320,28
321,26
322,44
323,26
324,28
325,20
326,24
327,13
328,24
329,17
330,19
331,14
332,21
333,15
334,17
335,8
336,10
337,12
338,3
339,4
340,3
341,2
342,3
343,2
344,4
345,2
346,6
347,4
348,4
349,7
350,2
351,3
352,3
353,3
354,10
355,6
356,7
357,10
358,13
359,8
360,8
361,8
362,10
363,16
364,14
365,5
366,15
367,12
368,13
369,13
370,21
371,23
372,15
373,16
374,19
375,15
376,22
377,21
378,14
379,19
380,14
381,14
382,11
383,11
384,10
385,15
386,11
387,8
388,9
389,9
390,13
391,11
392,2
393,10
394,9
395,8
396,0
397,5
398,8
399,12
400,6
401,4
402,3
403,5
404,6
405,4
406,4
407,7
408,5
409,5
410,9
411,9
412,12
413,9
414,5
415,14
416,16
