week,num. cases
1,11
2,19
3,24
4,21
5,19
6,28
7,31
8,43
9,53
10,49
11,60
12,82
13,68
14,90
15,101
16,92
17,97
18,84
19,110
20,89
21,66
22,110
23,115
24,124
25,152
26,156
27,127
28,103
29,84
30,75
31,64
32,57
33,58
34,44
35,34
36,31
37,21
38,22
39,28
40,28
41,18
42,32
43,22
44,22
45,19
46,19
47,11
48,16
49,17
50,15
51,15
52,12
53,32
54,62
55,56
56,58
57,75
58,66
59,75
60,79
61,91
62,91
63,134
64,153
65,156
66,166
67,211
68,239
69,234
70,255
71,332
72,342
73,336
74,296
75,315
76,274
77,214
78,187
79,135
80,133
81,125
82,104
83,117
84,65
85,72
86,57
87,46
88,40
89,32
90,31
91,30
92,37
93,20
94,33
95,21
96,17
97,17
98,16
99,12
100,10
101,22
102,27
103,26
104,30
105,20
106,46
107,60
108,52
109,54
110,66
111,45
112,64
113,65
114,71
115,75
116,86
117,71
118,73
119,75
120,57
121,57
122,47
123,68
124,68
125,56
126,51
127,40
128,33
129,35
130,30
131,26
132,31
133,26
134,20
135,21
136,14
137,15
138,16
139,14
140,17
141,15
142,12
143,12
144,11
145,10
146,7
147,7
148,6
149,9
150,12
151,6
152,11
153,7
154,11
155,7
156,12
157,10
158,13
159,19
160,23
161,27
162,28
163,39
164,33
165,43
166,32
167,39
168,25
169,35
170,39
171,40
172,43
173,26
174,27
175,46
176,34
177,20
178,24
179,21
180,17
181,16
182,13
183,13
184,13
185,14
186,10
187,9
188,15
189,7
190,6
191,8
192,12
193,10
194,6
195,10
196,4
197,6
198,1
199,3
200,2
201,12
202,7
203,10
204,9
205,5
206,2
207,6
208,2
209,13
210,22
211,17
212,24
213,18
214,11
215,9
216,20
217,14
218,6
219,9
220,6
221,11
222,7
223,9
224,9
225,8
226,6
227,4
228,9
229,10
230,6
231,2
232,11
233,4
234,8
235,4
236,13
237,10
238,13
239,12
240,1
241,6
242,14
243,14
244,3
245,10
246,7
247,11
248,3
249,10
250,7
251,12
252,4
253,3
254,9
255,6
256,10
257,6
258,7
259,8
260,10
261,20
262,11
263,14
264,14
265,15
266,18
267,26
268,26
269,29
270,35
271,54
272,51
273,70
274,50
275,52
276,37
277,57
278,53
279,53
280,70
281,83
282,72
283,108
284,104
285,112
286,97
287,102
288,81
289,99
290,80
291,69
292,72
293,69
294,61
295,55
296,47
297,41
298,22
299,51
300,49
301,33
302,36
303,36
304,41
305,33
306,49
307,42
308,57
309,56
310,58
311,82
312,33
313,39
314,75
315,107
316,117
317,135
318,150
319,185
320,254
321,209
322,253
323,304
324,345
325,178
326,132
327,101
328,101
329,133
330,108
331,107
332,121
333,128
334,99
335,89
336,105
337,112
338,89
339,75
340,69
341,72
342,56
343,59
344,46
345,56
346,58
347,43
348,53
349,38
350,32
351,48
352,38
353,28
354,30
355,27
356,33
357,29
358,38
359,35
360,32
361,34
362,38
363,41
364,76
365,34
366,32
367,51
368,69
369,59
370,68
371,69
372,95
373,90
374,135
375,139
376,134
377,137
378,136
379,179
380,185
381,157
382,205
383,202
384,222
385,239
386,205
387,196
388,194
389,164
390,185
391,174
392,170
393,141
394,109
395,115
396,0
397,101
398,85
399,143
400,59
401,54
402,60
403,56
404,50
405,59
406,57
407,49
408,41
409,49
410,47
411,53
412,29
413,34
414,50
415,22
416,37
