week,num. cases
1,20
2,31
3,29
4,31
5,33
6,35
7,45
8,60
9,60
10,56
11,71
12,94
13,80
14,98
15,114
16,106
17,106
18,89
19,118
20,99
21,76
22,116
23,125
24,135
25,162
26,164
27,136
28,112
29,97
30,90
31,75
32,65
33,64
34,45
35,39
36,37
37,28
38,26
39,30
40,30
41,26
42,35
43,28
44,30
45,25
46,30
47,19
48,25
49,23
50,21
51,17
52,18
53,40
54,72
55,66
56,66
57,86
58,77
59,84
60,86
61,108
62,114
63,162
64,164
65,172
66,187
67,230
68,272
69,253
70,284
71,363
72,374
73,365
74,328
75,351
76,298
77,252
78,213
79,158
80,150
81,145
82,124
83,128
84,79
85,93
86,71
87,54
88,56
89,44
90,43
91,35
92,43
93,22
94,42
95,31
96,24
97,25
98,31
99,28
100,33
101,34
102,48
103,38
104,45
105,34
106,62
107,96
108,99
109,88
110,99
111,68
112,91
113,96
114,97
115,98
116,112
117,90
118,96
119,92
120,79
121,74
122,81
123,100
124,105
125,75
126,85
127,55
128,46
129,50
130,51
131,41
132,42
133,48
134,33
135,39
136,27
137,24
138,24
139,22
140,23
141,18
142,26
143,23
144,21
145,17
146,9
147,12
148,8
149,14
150,20
151,11
152,19
153,10
154,14
155,9
156,22
157,23
158,26
159,24
160,33
161,36
162,37
163,45
164,37
165,54
166,38
167,44
168,28
169,39
170,41
171,49
172,47
173,35
174,36
175,48
176,39
177,23
178,25
179,23
180,20
181,20
182,13
183,15
184,17
185,16
186,15
187,13
188,16
189,11
190,8
191,12
192,12
193,11
194,11
195,12
196,9
197,9
198,2
199,3
200,6
201,13
202,7
203,11
204,11
205,6
206,3
207,8
208,2
209,18
210,26
211,24
212,28
213,23
214,16
215,16
216,23
217,16
218,7
219,10
220,11
221,18
222,12
223,16
224,12
225,11
226,9
227,7
228,17
229,16
230,15
231,6
232,16
233,11
234,11
235,6
236,17
237,10
238,17
239,18
240,2
241,9
242,14
243,17
244,4
245,10
246,11
247,11
248,5
249,13
250,13
251,17
252,5
253,4
254,13
255,6
256,10
257,8
258,8
259,16
260,14
261,21
262,15
263,19
264,18
265,18
266,20
267,31
268,31
269,37
270,49
271,65
272,61
273,82
274,71
275,65
276,58
277,79
278,85
279,86
280,96
281,113
282,92
283,135
284,121
285,140
286,126
287,124
288,97
289,104
290,87
291,82
292,79
293,79
294,81
295,64
296,63
297,58
298,30
299,62
300,57
301,38
302,50
303,45
304,43
305,47
306,61
307,51
308,81
309,73
310,79
311,95
312,47
313,50
314,106
315,130
316,143
317,155
318,167
319,224
320,287
321,240
322,302
323,347
324,381
325,209
326,163
327,114
328,128
329,155
330,133
331,130
332,147
333,148
334,122
335,102
336,124
337,130
338,94
339,82
340,72
341,75
342,63
343,61
344,51
345,58
346,65
347,50
348,58
349,47
350,35
351,52
352,42
353,32
354,41
355,34
356,41
357,40
358,51
359,43
360,40
361,43
362,49
363,59
364,93
365,41
366,48
367,63
368,82
369,76
370,94
371,97
372,110
373,109
374,159
375,154
376,157
377,158
378,151
379,205
380,200
381,178
382,223
383,215
384,242
385,264
386,223
387,210
388,217
389,181
390,204
391,191
392,176
393,157
394,123
395,128
396,0
397,117
398,96
399,166
400,67
401,62
402,66
403,66
404,61
405,66
406,63
407,60
408,49
409,58
410,56
411,66
412,44
413,45
414,59
415,37
416,53
