Year,Costa,Amazonia
2014,6,44
2014,17,59
2014,37,47
2014,27,51
2014,28,50
2014,32,60
2014,39,46
2014,15,48
2014,33,49
2014,41,57
2014,55,
2014,7,
2014,12,
2014,18,
2014,23,
2014,25,
2014,30,
2014,38,
2014,40,
2014,19,
2014,26,
2014,36,
2014,61,
2014,63,
2014,9,
2014,16,
2014,35,
2014,11,
2014,76,
2014,77,
2014,20,
2014,21,
2014,34,
2014,14,
2014,22,
2014,13,
2014,42,
2014,69,
2014,75,
2014,43,
2014,29,
2014,24,
2014,8,
2014,70,
2014,81,
2015,3,10
2015,4,1
2015,5,2
2015,6,27
2015,7,51
2015,8,64
2015,9,82
2015,13,40
2015,14,49
2015,15,62
2015,17,
2015,18,
2015,19,
2015,21,
2015,22,
2015,29,
2015,30,
2015,33,
2015,43,
2015,50,
2015,16,
2015,26,
2015,31,
2015,60,
2015,61,
2015,24,
2015,25,
2015,55,
2015,36,
2015,37,
2015,46,
2015,35,
2015,48,
2015,58,
2015,67,
2015,68,
2015,41,
2015,42,
2015,28,
2015,44,
2015,20,
2015,47,
2015,93,
2015,45,
2015,80,
2015,57,
2015,87,
2015,54,
2015,84,
2015,81,
2016,13,32
2016,15,31
2016,21,48
2016,33,70
2016,52,68
2016,17,69
2016,34,77
2016,53,25
2016,57,72
2016,10,78
2016,14,
2016,45,
2016,55,
2016,56,
2016,7,
2016,47,
2016,59,
2016,16,
2016,23,
2016,43,
2016,12,
2016,18,
2016,19,
2016,22,
2016,50,
2016,20,
2016,49,
2016,42,
2016,36,
2016,84,
2016,51,
2016,35,
2016,54,
2016,65,
2016,85,
2016,44,
2016,66,
2016,30,
2016,46,
2016,82,
2016,88,
2016,87,
2016,67,
2016,76,
2016,61,
2017,11,25
2017,19,12
2017,3,5
2017,20,52
2017,9,67
2017,8,69
2017,23,56
2017,29,16
2017,53,46
2017,4,68
2017,15,
2017,30,
2017,34,
2017,6,
2017,21,
2017,32,
2017,10,
2017,36,
2017,64,
2017,18,
2017,7,
2017,40,
2017,45,
2017,31,
2017,17,
2017,26,
2017,28,
2017,38,
2017,2,
2017,33,
2017,37,
2017,41,
2017,44,
2017,61,
2017,39,
2017,59,
2017,47,
2017,51,
2017,27,
2017,48,
2017,42,
2017,14,
2017,54,
2017,55,
2017,60,
2018,14,36
2018,46,44
2018,34,45
2018,11,39
2018,18,43
2018,27,40
2018,6,64
2018,26,67
2018,31,38
2018,61,37
2018,47,
2018,20,
2018,29,
2018,49,
2018,7,
2018,56,
2018,48,
2018,30,
2018,33,
2018,58,
2018,41,
2018,35,
2018,12,
2018,13,
2018,9,
2018,54,
2018,52,
2018,57,
2018,60,
2018,62,
2018,21,
2018,8,
2018,55,
2018,63,
2018,2,
2018,16,
2018,23,
2018,15,
2018,32,
2018,19,
2018,28,
2018,50,
2018,53,
2018,17,
2018,24,
2019,19,65
2019,22,74
2019,23,76
2019,25,63
2019,55,72
2019,78,73
2019,12,75
2019,15,64
2019,20,67
2019,21,62
2019,24,
2019,31,
2019,42,
2019,34,
2019,44,
2019,49,
2019,32,
2019,51,
2019,79,
2019,29,
2019,35,
2019,16,
2019,18,
2019,53,
2019,14,
2019,43,
2019,48,
2019,33,
2019,46,
2019,47,
2019,54,
2019,69,
2019,58,
2019,59,
2019,56,
2019,50,
2019,81,
2019,80,
2019,4,
2019,26,
2019,45,
2019,13,
2019,17,
2019,57,
2019,28,
2020,19,70
2020,25,80
2020,46,82
2020,49,81
2020,54,66
2020,59,72
2020,60,78
2020,84,77
2020,12,83
2020,15,71
2020,22,
2020,53,
2020,18,
2020,24,
2020,29,
2020,31,
2020,51,
2020,52,
2020,16,
2020,23,
2020,26,
2020,32,
2020,47,
2020,55,
2020,56,
2020,57,
2020,14,
2020,20,
2020,35,
2020,61,
2020,13,
2020,50,
2020,85,
2020,33,
2020,58,
2020,17,
2020,36,
2020,87,
2020,63,
2020,21,
2020,28,
2020,64,
2020,62,
2020,86,
2020,34,
2021,1,19
2021,2,28
2021,3,10
2021,5,57
2021,6,62
2021,7,23
2021,9,54
2021,11,55
2021,12,56
2021,13,61
2021,17,
2021,18,
2021,21,
2021,31,
2021,38,
2021,42,
2021,49,
2021,16,
2021,24,
2021,30,
2021,35,
2021,58,
2021,14,
2021,20,
2021,26,
2021,36,
2021,45,
2021,50,
2021,63,
2021,79,
2021,4,
2021,8,
2021,33,
2021,47,
2021,53,
2021,64,
2021,22,
2021,37,
2021,29,
2021,27,
2021,41,
2021,44,
2021,82,
2021,32,
2021,34,
2021,39,
2021,71,
2021,77,
2021,52,
2021,25,
