fid,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,DPA_ANIO,DPA_VALOR,Shape_Leng,Shape_Area,lat,lon,,Region
1,101,CUENCA,1,AZUAY,2010,0,357327.4844,3190010424,-2.861,-79.22,,Interandean
2,102,GIRON,1,AZUAY,2010,0,127941.208,350314948.4,-3.179,-79.159,,Interandean
3,103,GUALACEO,1,AZUAY,2010,0,142792.9433,349997053.3,-2.909,-78.829,,Interandean
4,104,NABON,1,AZUAY,2010,0,167475.89,632409334.1,-3.33,-79.119,,Interandean
5,105,PAUTE,1,AZUAY,2010,0,113078.0068,269490200.7,-2.726,-78.762,,Interandean
6,106,PUCARA,1,AZUAY,2010,0,129174.4372,585087526.9,-3.192,-79.527,,Interandean
7,107,SAN FERNANDO,1,AZUAY,2010,0,61803.81533,141962705.9,-3.133,-79.268,,Interandean
8,108,SANTA ISABEL,1,AZUAY,2010,0,157088.968,604262508.8,-3.202,-79.363,,Interandean
9,109,SIGSIG,1,AZUAY,2010,0,140035.4227,676086008.5,-3.13,-78.854,,Interandean
10,110,OÑA,1,AZUAY,2010,0,115965.8746,293905576.2,-3.489,-79.131,,Interandean
11,111,CHORDELEG,1,AZUAY,2010,0,59007.9752,105191486.3,-2.987,-78.734,,Interandean
12,112,EL PAN,1,AZUAY,2010,0,65814.42944,132628197.6,-2.858,-78.655,,Interandean
13,113,SEVILLA DE ORO,1,AZUAY,2010,0,122248.5241,314971913.3,-2.678,-78.563,,Interandean
14,114,GUACHAPALA,1,AZUAY,2010,0,40516.14262,39963559.26,-2.782,-78.706,,Interandean
15,115,CAMILO PONCE ENRIQUEZ,1,AZUAY,2010,0,168595.6076,639360959.1,-2.978,-79.599,,Interandean
16,201,GUARANDA,2,BOLIVAR,2010,0,264680.7521,1891837946,-1.415,-79.049,,Interandean
17,202,CHILLANES,2,BOLIVAR,2010,0,144114.7525,662439805.2,-2.012,-79.121,,Interandean
18,203,CHIMBO,2,BOLIVAR,2010,0,101508.9088,261250674.1,-1.673,-79.145,,Interandean
19,204,ECHEANDIA,2,BOLIVAR,2010,0,87500.23012,230614466.2,-1.455,-79.263,,Interandean
20,205,SAN MIGUEL,2,BOLIVAR,2010,0,148316.0581,573169816.5,-1.794,-79.104,,Interandean
21,206,CALUMA,2,BOLIVAR,2010,0,89583.74244,176849577.4,-1.608,-79.219,,Interandean
22,207,LAS NAVES,2,BOLIVAR,2010,0,80192.7116,148708360.7,-1.287,-79.292,,Interandean
23,301,AZOGUES,3,CAÑAR,2010,0,177274.3636,612822744.7,-2.626,-78.747,,Interandean
24,302,BIBLIAN,3,CAÑAR,2010,0,98360.03009,226809023.6,-2.673,-78.966,,Interandean
25,303,CAÑAR,3,CAÑAR,2010,0,364374.7211,1798431911,-2.569,-79.019,,Interandean
26,304,LA TRONCAL,3,CAÑAR,2010,0,112146.3695,318701425.9,-2.449,-79.382,,Interandean
27,305,EL TAMBO,3,CAÑAR,2010,0,47098.09445,64064682.41,-2.491,-78.918,,Interandean
28,306,DELEG,3,CAÑAR,2010,0,47834.3242,76049354.31,-2.752,-78.932,,Interandean
29,307,SUSCAL,3,CAÑAR,2010,0,33571.23567,49804708.52,-2.464,-79.067,,Interandean
30,401,TULCAN,4,CARCHI,2010,0,457958.8325,1823966030,0.906,-78.143,,Interandean
31,402,BOLIVAR,4,CARCHI,2010,0,104605.1544,356377221.3,0.476,-77.923,,Interandean
32,403,ESPEJO,4,CARCHI,2010,0,153620.177,559663251.6,0.689,-77.964,,Interandean
33,404,MIRA,4,CARCHI,2010,0,230635.7683,583894633.6,0.619,-78.11,,Interandean
34,405,MONTUFAR,4,CARCHI,2010,0,116047.5761,385599782.6,0.567,-77.815,,Interandean
35,406,SAN PEDRO DE HUACA,4,CARCHI,2010,0,54114.64275,70451021.59,0.613,-77.714,,Interandean
36,501,LATACUNGA,5,COTOPAXI,2010,0,240990.7515,1386311577,-0.794,-78.58,,Interandean
37,502,LA MANA,5,COTOPAXI,2010,0,180645.9323,657158598.3,-0.803,-79.141,,Interandean
38,503,PANGUA,5,COTOPAXI,2010,0,162506.2126,721520401.1,-1.101,-79.155,,Interandean
39,504,PUJILI,5,COTOPAXI,2010,0,261327.5186,1300425542,-0.992,-78.901,,Interandean
40,505,SALCEDO,5,COTOPAXI,2010,0,159929.9255,486163972.6,-1.092,-78.658,,Interandean
41,506,SAQUISILI,5,COTOPAXI,2010,0,83744.65659,205501888.9,-0.824,-78.743,,Interandean
42,507,SIGCHOS,5,COTOPAXI,2010,0,235381.7391,1352040235,-0.636,-78.927,,Interandean
43,601,RIOBAMBA,6,CHIMBORAZO,2010,0,305337.254,981666471,-1.696,-78.674,,Interandean
44,602,ALAUSI,6,CHIMBORAZO,2010,0,308213.997,1657974604,-2.296,-78.742,,Interandean
45,603,COLTA,6,CHIMBORAZO,2010,0,159925.0523,836847734.8,-1.816,-78.844,,Interandean
46,604,CHAMBO,6,CHIMBORAZO,2010,0,68198.74754,164181967.5,-1.751,-78.539,,Interandean
47,605,CHUNCHI,6,CHIMBORAZO,2010,0,93238.68971,273389931.8,-2.335,-78.905,,Interandean
48,606,GUAMOTE,6,CHIMBORAZO,2010,0,217807.9513,1221417798,-2.039,-78.639,,Interandean
49,607,GUANO,6,CHIMBORAZO,2010,0,125185.8333,460017232.9,-1.544,-78.662,,Interandean
50,608,PALLATANGA,6,CHIMBORAZO,2010,0,94994.44404,379833866,-2.017,-78.93,,Interandean
51,609,PENIPE,6,CHIMBORAZO,2010,0,93803.40226,366583880,-1.566,-78.45,,Interandean
