Source,Target,Type,Id,Label,timeset,Weight
66,83,Directed,30507,,,0.025
66,82,Directed,30506,,,0.299533
66,81,Directed,30505,,,0.185823
66,80,Directed,30504,,,0.454295
66,78,Directed,30503,,,0.022727
66,77,Directed,30502,,,0.022727
66,72,Directed,30498,,,0.047727
66,70,Directed,30497,,,0.454295
66,69,Directed,30496,,,0.196919
66,67,Directed,30495,,,0.026316
83,66,Directed,31515,,,0.05
82,66,Directed,31445,,,1.384035
81,66,Directed,31361,,,0.313312
80,66,Directed,31280,,,2.133415
78,66,Directed,31133,,,0.022727
77,66,Directed,31067,,,0.022727
72,66,Directed,30780,,,0.070455
70,66,Directed,30683,,,1.115443
69,66,Directed,30610,,,0.196919
67,66,Directed,30541,,,0.026316
67,82,Directed,30546,,,0.026316
67,80,Directed,30545,,,0.026316
67,70,Directed,30542,,,0.026316
82,67,Directed,31446,,,0.236842
80,67,Directed,31281,,,0.263158
70,67,Directed,30684,,,0.184211
68,82,Directed,30580,,,0.029412
68,81,Directed,30579,,,0.029412
68,80,Directed,30578,,,0.029412
68,77,Directed,30577,,,0.029412
68,70,Directed,30574,,,0.029412
82,68,Directed,31447,,,0.411765
81,68,Directed,31362,,,0.088235
80,68,Directed,31282,,,0.176471
77,68,Directed,31068,,,0.029412
70,68,Directed,30685,,,0.176471
69,82,Directed,30615,,,0.192157
69,81,Directed,30614,,,0.071429
69,80,Directed,30613,,,0.878466
69,70,Directed,30611,,,0.878466
82,69,Directed,31448,,,0.25098
81,69,Directed,31363,,,0.142857
80,69,Directed,31283,,,1.97437
70,69,Directed,30686,,,0.648494
70,83,Directed,30699,,,0.498052
70,82,Directed,30698,,,3.359744
70,81,Directed,30697,,,1.799825
70,80,Directed,30696,,,4.136713
70,78,Directed,30694,,,0.752983
70,77,Directed,30693,,,0.584365
70,72,Directed,30688,,,0.613211
70,71,Directed,30687,,,0.045455
83,70,Directed,31516,,,0.336617
82,70,Directed,31449,,,7.012576
81,70,Directed,31364,,,1.186288
80,70,Directed,31284,,,9.268261
78,70,Directed,31134,,,0.382655
77,70,Directed,31069,,,0.078455
72,70,Directed,30781,,,0.324006
71,70,Directed,30718,,,0.045455
71,82,Directed,30724,,,0.045455
71,81,Directed,30723,,,0.045455
71,80,Directed,30722,,,0.045455
71,78,Directed,30721,,,0.045455
71,72,Directed,30719,,,0.045455
82,71,Directed,31450,,,0.090909
81,71,Directed,31365,,,0.045455
80,71,Directed,31285,,,0.409091
78,71,Directed,31135,,,0.045455
72,71,Directed,30782,,,0.045455
72,83,Directed,30792,,,0.116071
72,82,Directed,30791,,,0.271374
72,81,Directed,30790,,,0.157576
72,80,Directed,30789,,,0.426638
72,78,Directed,30787,,,0.153409
72,77,Directed,30786,,,0.045455
83,72,Directed,31517,,,0.109821
82,72,Directed,31451,,,1.239881
81,72,Directed,31366,,,0.199242
80,72,Directed,31286,,,2.280007
78,72,Directed,31136,,,0.099432
77,72,Directed,31070,,,0.022727
77,82,Directed,31076,,,0.078455
77,81,Directed,31075,,,0.052139
77,80,Directed,31074,,,0.078455
77,78,Directed,31073,,,0.022727
82,77,Directed,31455,,,0.747889
81,77,Directed,31370,,,0.13369
80,77,Directed,31291,,,0.931255
78,77,Directed,31139,,,0.022727
78,83,Directed,31144,,,0.134937
78,82,Directed,31143,,,0.382655
78,81,Directed,31142,,,0.137477
78,80,Directed,31141,,,0.342655
83,78,Directed,31521,,,0.099222
82,78,Directed,31456,,,1.501634
81,78,Directed,31371,,,0.160204
80,78,Directed,31292,,,1.812539
80,83,Directed,31296,,,1.003237
80,82,Directed,31295,,,8.150907
80,81,Directed,31294,,,4.451069
83,80,Directed,31523,,,0.336617
82,80,Directed,31458,,,7.023725
81,80,Directed,31373,,,1.220771
81,83,Directed,31375,,,0.090591
81,82,Directed,31374,,,1.077914
83,81,Directed,31524,,,0.182258
82,81,Directed,31459,,,4.26154
82,83,Directed,31460,,,1.749696
83,82,Directed,31525,,,0.336617
