Source,Target,Type,Id,Label,timeset,Weight
7,88,Directed,59600,,,0.035714
7,87,Directed,59599,,,0.063508
7,85,Directed,59598,,,0.165478
7,84,Directed,59597,,,0.214392
7,83,Directed,59596,,,0.064516
7,82,Directed,59595,,,0.170577
7,76,Directed,59589,,,0.126008
7,67,Directed,59580,,,0.242657
7,66,Directed,59579,,,0.191789
7,65,Directed,59578,,,0.03125
7,60,Directed,59574,,,0.064516
7,59,Directed,59573,,,0.714844
7,57,Directed,59572,,,0.709431
7,56,Directed,59571,,,0.733592
7,55,Directed,59570,,,1.019035
7,54,Directed,59569,,,0.307909
7,53,Directed,59568,,,1.324161
7,52,Directed,59567,,,1.524994
7,51,Directed,59566,,,0.317067
7,50,Directed,59565,,,1.013968
7,49,Directed,59564,,,0.518575
7,47,Directed,59562,,,0.746788
7,46,Directed,59561,,,0.063492
7,45,Directed,59560,,,1.067178
7,44,Directed,59559,,,0.242713
7,43,Directed,59558,,,0.400552
7,42,Directed,59557,,,0.29135
7,36,Directed,59551,,,0.317606
7,35,Directed,59550,,,0.315738
7,34,Directed,59549,,,0.984014
7,33,Directed,59548,,,1.38928
7,30,Directed,59545,,,0.156428
7,23,Directed,59540,,,0.467769
7,22,Directed,59539,,,0.746463
7,21,Directed,59538,,,1.308111
7,20,Directed,59537,,,0.819937
7,19,Directed,59536,,,0.527327
7,18,Directed,59535,,,0.312784
7,17,Directed,59534,,,1.443825
7,16,Directed,59533,,,0.623477
7,15,Directed,59532,,,1.424994
7,14,Directed,59531,,,0.939427
7,13,Directed,59530,,,1.124016
7,12,Directed,59529,,,0.436226
7,11,Directed,59528,,,0.09375
7,10,Directed,59527,,,0.91257
7,9,Directed,59526,,,0.038462
7,8,Directed,59525,,,0.08
88,7,Directed,64310,,,0.035714
87,7,Directed,64267,,,0.063508
85,7,Directed,64183,,,0.10197
84,7,Directed,64122,,,0.121589
83,7,Directed,64086,,,0.032258
82,7,Directed,64038,,,0.108016
76,7,Directed,63761,,,0.063508
67,7,Directed,63347,,,0.102098
66,7,Directed,63295,,,0.095894
65,7,Directed,63245,,,0.03125
60,7,Directed,63074,,,0.032258
59,7,Directed,62997,,,0.866537
57,7,Directed,62888,,,0.92351
56,7,Directed,62810,,,0.553397
55,7,Directed,62729,,,2.348562
54,7,Directed,62667,,,0.204931
53,7,Directed,62583,,,2.544217
52,7,Directed,62496,,,5.526449
51,7,Directed,62434,,,0.300022
50,7,Directed,62362,,,1.492009
49,7,Directed,62290,,,0.515102
47,7,Directed,62140,,,1.692983
46,7,Directed,62085,,,0.119048
45,7,Directed,62005,,,1.302551
44,7,Directed,61947,,,0.163707
43,7,Directed,61875,,,0.292379
42,7,Directed,61809,,,0.221278
36,7,Directed,61428,,,0.321773
35,7,Directed,61363,,,0.382354
34,7,Directed,61280,,,1.798434
33,7,Directed,61194,,,2.778083
30,7,Directed,60968,,,0.12417
23,7,Directed,60622,,,0.358704
22,7,Directed,60549,,,0.503934
21,7,Directed,60463,,,2.239284
20,7,Directed,60390,,,0.609561
19,7,Directed,60319,,,0.425371
18,7,Directed,60243,,,0.439861
17,7,Directed,60160,,,1.941718
16,7,Directed,60088,,,0.407131
15,7,Directed,60004,,,2.465569
14,7,Directed,59926,,,0.962412
13,7,Directed,59843,,,1.487576
12,7,Directed,59769,,,0.574641
11,7,Directed,59734,,,0.03125
10,7,Directed,59658,,,1.222728
9,7,Directed,59626,,,0.038462
8,7,Directed,59602,,,0.08
8,59,Directed,59623,,,0.08
8,57,Directed,59622,,,0.08
8,56,Directed,59621,,,0.08
8,55,Directed,59620,,,0.08
8,52,Directed,59619,,,0.08
8,50,Directed,59618,,,0.08
8,49,Directed,59617,,,0.08
8,47,Directed,59616,,,0.08
8,34,Directed,59613,,,0.08
8,33,Directed,59612,,,0.08
8,22,Directed,59609,,,0.08
8,21,Directed,59608,,,0.08
8,20,Directed,59607,,,0.08
8,19,Directed,59606,,,0.08
8,17,Directed,59605,,,0.08
8,15,Directed,59604,,,0.08
8,13,Directed,59603,,,0.08
59,8,Directed,62998,,,0.2
57,8,Directed,62889,,,0.04
56,8,Directed,62811,,,0.04
55,8,Directed,62730,,,0.16
52,8,Directed,62497,,,0.2
50,8,Directed,62363,,,0.04
49,8,Directed,62291,,,0.08
