,PROVINCIA,CANTON,SE,NÃšM..CASOS
1,Azuay,Cuenca,7,4
2,Azuay,Cuenca,27,2
3,Azuay,Cuenca,5,3
4,Azuay,Cuenca,8,2
5,Azuay,Cuenca,52,2
6,Azuay,Cuenca,11,2
7,Azuay,Cuenca,23,2
8,Azuay,Cuenca,13,2
9,Azuay,Cuenca,12,2
10,Bolívar,Chillanes,40,1
11,Cotopaxi,Latacunga,41,2
12,Cotopaxi,Pangua,31,1
13,Chimborazo,Riobamba,30,2
14,El Oro,Machala,18,4
15,El Oro,Machala,21,4
16,El Oro,Machala,19,7
17,El Oro,Machala,23,15
18,El Oro,Machala,26,25
19,El Oro,Machala,25,21
20,El Oro,Machala,22,12
21,El Oro,Machala,24,17
22,El Oro,Machala,30,20
23,El Oro,Machala,28,21
24,El Oro,Machala,27,12
25,El Oro,Machala,29,15
26,El Oro,Machala,31,12
27,El Oro,Machala,34,9
28,El Oro,Machala,32,14
29,El Oro,Machala,36,4
30,El Oro,Machala,42,5
31,El Oro,Machala,45,3
32,El Oro,Machala,48,2
33,El Oro,Machala,13,3
34,El Oro,Machala,33,11
35,El Oro,Machala,35,7
36,El Oro,Machala,39,3
37,El Oro,Machala,38,2
38,El Oro,Machala,15,6
39,El Oro,Machala,17,11
40,El Oro,Machala,14,6
41,El Oro,Machala,44,4
42,El Oro,Machala,8,2
43,El Oro,Machala,7,2
44,El Oro,Machala,9,4
45,El Oro,Machala,10,4
46,El Oro,Machala,12,2
47,El Oro,Machala,16,7
48,El Oro,Machala,20,12
49,El Oro,Machala,40,6
50,El Oro,Machala,43,4
51,El Oro,Machala,4,4
52,El Oro,Machala,6,3
53,El Oro,Machala,41,2
54,El Oro,Pasaje,22,2
55,El Oro,Pasaje,29,4
56,El Oro,Pasaje,14,3
57,El Oro,Pasaje,25,3
58,El Oro,Pasaje,24,3
59,El Oro,Pasaje,26,7
60,El Oro,Pasaje,23,2
61,El Oro,Pasaje,30,2
62,El Oro,Pasaje,32,2
63,El Oro,Arenillas,28,2
64,El Oro,Santa Rosa,24,2
65,El Oro,Santa Rosa,25,3
66,El Oro,Santa Rosa,26,3
67,El Oro,Santa Rosa,28,2
68,El Oro,Santa Rosa,31,2
69,El Oro,Santa Rosa,52,2
70,El Oro,Zaruma,31,2
71,El Oro,El Guabo,20,3
72,El Oro,El Guabo,21,2
73,El Oro,El Guabo,29,2
74,El Oro,El Guabo,30,3
75,El Oro,El Guabo,17,2
76,El Oro,El Guabo,24,2
77,El Oro,El Guabo,25,2
78,El Oro,El Guabo,27,2
79,Esmeraldas,Esmeraldas,25,6
80,Esmeraldas,Esmeraldas,26,5
81,Esmeraldas,Esmeraldas,20,8
82,Esmeraldas,Esmeraldas,21,4
83,Esmeraldas,Esmeraldas,22,11
84,Esmeraldas,Esmeraldas,30,2
85,Esmeraldas,Esmeraldas,3,2
86,Esmeraldas,Esmeraldas,19,5
87,Esmeraldas,Esmeraldas,33,3
88,Esmeraldas,Esmeraldas,15,4
89,Esmeraldas,Esmeraldas,16,3
90,Esmeraldas,Esmeraldas,18,3
91,Esmeraldas,Esmeraldas,8,4
92,Esmeraldas,Esmeraldas,11,3
93,Esmeraldas,Esmeraldas,12,2
94,Esmeraldas,Esmeraldas,44,3
95,Esmeraldas,Esmeraldas,45,2
96,Esmeraldas,Esmeraldas,24,5
97,Esmeraldas,Esmeraldas,31,2
98,Esmeraldas,Esmeraldas,23,7
99,Esmeraldas,Esmeraldas,27,2
100,Esmeraldas,Esmeraldas,9,2
101,Esmeraldas,Esmeraldas,28,3
102,Esmeraldas,Esmeraldas,36,2
103,Esmeraldas,Esmeraldas,46,2
104,Esmeraldas,Esmeraldas,34,2
105,Esmeraldas,Esmeraldas,13,2
106,Esmeraldas,Esmeraldas,14,2
107,Esmeraldas,Esmeraldas,17,3
108,Esmeraldas,Eloy Alfaro,22,4
109,Esmeraldas,Eloy Alfaro,23,2
110,Esmeraldas,San Lorenzo,7,3
111,Esmeraldas,San Lorenzo,5,2
112,Esmeraldas,San Lorenzo,23,3
113,Esmeraldas,San Lorenzo,17,2
114,Esmeraldas,San Lorenzo,20,3
115,Esmeraldas,Muisne,18,2
116,Esmeraldas,Muisne,22,3
117,Esmeraldas,Muisne,24,3
118,Esmeraldas,Muisne,25,4
119,Esmeraldas,Muisne,26,4
120,Esmeraldas,Muisne,23,2
121,Esmeraldas,Muisne,16,2
122,Esmeraldas,Quinindé,31,2
123,Esmeraldas,Quinindé,26,3
124,Esmeraldas,Quinindé,13,2
125,Guayas,Guayaquil,26,56
126,Guayas,Guayaquil,42,8
127,Guayas,Guayaquil,12,33
128,Guayas,Guayaquil,13,21
129,Guayas,Guayaquil,6,13
130,Guayas,Guayaquil,8,12
131,Guayas,Guayaquil,14,37
132,Guayas,Guayaquil,18,37
133,Guayas,Guayaquil,20,19
134,Guayas,Guayaquil,21,22
135,Guayas,Guayaquil,23,31
136,Guayas,Guayaquil,44,2
137,Guayas,Guayaquil,30,13
138,Guayas,Guayaquil,29,16
139,Guayas,Guayaquil,28,28
140,Guayas,Guayaquil,19,39
141,Guayas,Guayaquil,24,52
142,Guayas,Guayaquil,3,10
143,Guayas,Guayaquil,47,7
144,Guayas,Guayaquil,31,9
145,Guayas,Guayaquil,32,17
146,Guayas,Guayaquil,35,4
147,Guayas,Guayaquil,9,19
148,Guayas,Guayaquil,10,23
149,Guayas,Guayaquil,11,24
150,Guayas,Guayaquil,15,49
151,Guayas,Guayaquil,16,34
152,Guayas,Guayaquil,17,32
153,Guayas,Guayaquil,1,4
154,Guayas,Guayaquil,2,7
155,Guayas,Guayaquil,4,6
156,Guayas,Guayaquil,5,5
157,Guayas,Guayaquil,27,66
158,Guayas,Guayaquil,7,14
159,Guayas,Guayaquil,36,8
160,Guayas,Guayaquil,41,2
161,Guayas,Guayaquil,33,25
162,Guayas,Guayaquil,22,37
163,Guayas,Guayaquil,25,51
164,Guayas,Guayaquil,34,10
165,Guayas,Guayaquil,45,3
166,Guayas,Guayaquil,46,6
167,Guayas,Guayaquil,49,2
168,Guayas,Guayaquil,40,8
169,Guayas,Guayaquil,39,11
170,Guayas,Guayaquil,50,3
171,Guayas,Guayaquil,51,2
172,Guayas,Guayaquil,52,2
173,Guayas,Guayaquil,38,6
174,Guayas,Guayaquil,48,2
175,Guayas,Guayaquil,43,3
176,Guayas,Guayaquil,37,3
177,Guayas,Milagro,2,2
178,Guayas,Milagro,13,11
179,Guayas,Milagro,16,7
180,Guayas,Milagro,17,13
181,Guayas,Milagro,15,6
182,Guayas,Milagro,10,6
183,Guayas,Milagro,11,10
184,Guayas,Milagro,12,5
185,Guayas,Milagro,9,3
186,Guayas,Milagro,20,11
187,Guayas,Milagro,21,6
188,Guayas,Milagro,19,10
189,Guayas,Milagro,22,2
190,Guayas,Milagro,25,4
191,Guayas,Milagro,26,3
192,Guayas,Milagro,28,5
193,Guayas,Milagro,29,5
194,Guayas,Milagro,27,4
195,Guayas,Milagro,31,3
196,Guayas,Milagro,14,5
197,Guayas,Milagro,3,5
198,Guayas,Milagro,8,5
199,Guayas,Milagro,7,3
200,Guayas,Milagro,18,5
201,Guayas,Milagro,23,2
202,Guayas,Milagro,30,3
203,Guayas,Milagro,6,2
204,Guayas,El Empalme,12,3
205,Guayas,El Empalme,24,2
206,Guayas,El Empalme,11,2
207,Guayas,San Jacinto de Yaguachi,23,3
208,Santa Elena,Salinas,42,2
209,Santa Elena,Salinas,18,2
210,Guayas,Durán,25,2
211,Guayas,Durán,13,2
212,Guayas,Durán,14,2
213,Guayas,Durán,17,2
214,Guayas,Playas,19,2
215,Guayas,Playas,20,4
216,Guayas,Playas,22,3
217,Guayas,Playas,23,2
218,Guayas,Playas,25,2
219,Guayas,Playas,26,2
220,Guayas,Playas,28,2
221,Guayas,Playas,12,2
222,Guayas,Playas,14,3
223,Guayas,Daule,16,2
224,Guayas,Naranjal,19,3
225,Guayas,Naranjal,21,2
226,Guayas,Naranjal,22,3
227,Guayas,Naranjal,35,2
228,Guayas,Naranjal,14,5
229,Guayas,Naranjal,15,2
230,Guayas,Naranjal,16,2
231,Guayas,Naranjal,12,2
232,Guayas,Naranjal,13,2
233,Santa Elena,La Libertad,18,3
234,Santa Elena,La Libertad,19,3
235,Santa Elena,La Libertad,20,2
236,Santa Elena,La Libertad,27,2
237,Santa Elena,La Libertad,28,3
238,Santa Elena,La Libertad,16,3
239,Santa Elena,La Libertad,25,2
240,Santa Elena,La Libertad,26,3
241,Santa Elena,La Libertad,23,2
242,Santa Elena,La Libertad,32,2
243,Santa Elena,Santa Elena,19,3
244,Santa Elena,Santa Elena,20,4
245,Santa Elena,Santa Elena,25,2
246,Santa Elena,Santa Elena,37,2
247,Santa Elena,Santa Elena,18,2
248,Santa Elena,Santa Elena,15,4
249,Santa Elena,Santa Elena,13,4
250,Santa Elena,Santa Elena,16,5
251,Santa Elena,Santa Elena,27,5
252,Santa Elena,Santa Elena,30,4
253,Santa Elena,Santa Elena,14,3
254,Santa Elena,Santa Elena,17,2
255,Santa Elena,Santa Elena,28,2
256,Santa Elena,Santa Elena,29,3
257,Santa Elena,Santa Elena,10,2
258,Santa Elena,Santa Elena,12,2
259,Santa Elena,Santa Elena,23,4
260,Santa Elena,Santa Elena,9,2
261,Santa Elena,Santa Elena,34,2
262,Santa Elena,Santa Elena,42,2
263,Guayas,El Triunfo,19,3
264,Guayas,El Triunfo,20,2
265,Guayas,El Triunfo,23,2
266,Guayas,El Triunfo,25,4
267,Guayas,El Triunfo,27,2
268,Guayas,El Triunfo,28,3
269,Guayas,El Triunfo,40,3
270,Guayas,El Triunfo,13,2
271,Guayas,El Triunfo,15,2
272,Guayas,El Triunfo,4,2
273,Guayas,El Triunfo,16,2
274,Guayas,Salitre,9,3
275,Guayas,Salitre,2,2
276,Guayas,Naranjito,17,2
277,Guayas,Naranjito,21,2
278,Guayas,Naranjito,25,3
279,Guayas,Naranjito,26,4
280,Guayas,Naranjito,27,5
281,Guayas,Naranjito,29,3
282,Guayas,Naranjito,30,2
283,Guayas,Naranjito,33,2
284,Guayas,Naranjito,36,2
285,Guayas,Naranjito,10,3
286,Guayas,Naranjito,11,2
287,Loja,Paltas,28,1
288,Los Ríos,Babahoyo,12,5
289,Los Ríos,Babahoyo,13,3
290,Los Ríos,Babahoyo,23,4
291,Los Ríos,Babahoyo,25,7
292,Los Ríos,Babahoyo,19,6
293,Los Ríos,Babahoyo,21,2
294,Los Ríos,Babahoyo,22,7
295,Los Ríos,Babahoyo,34,3
296,Los Ríos,Babahoyo,26,4
297,Los Ríos,Babahoyo,27,3
298,Los Ríos,Babahoyo,29,7
299,Los Ríos,Babahoyo,28,8
300,Los Ríos,Babahoyo,30,4
301,Los Ríos,Babahoyo,44,3
302,Los Ríos,Babahoyo,51,2
303,Los Ríos,Babahoyo,24,8
304,Los Ríos,Babahoyo,16,6
305,Los Ríos,Babahoyo,18,4
306,Los Ríos,Babahoyo,31,4
307,Los Ríos,Babahoyo,32,3
308,Los Ríos,Babahoyo,33,3
309,Los Ríos,Babahoyo,38,4
310,Los Ríos,Babahoyo,37,2
