"","PROVINCIA","CANTON","SE","NÃšM..CASOS"
"1","Orellana","Orellana",21,5
"2","Orellana","Orellana",16,4
"3","Orellana","Orellana",18,4
"4","Orellana","Orellana",9,5
"5","Orellana","Orellana",11,4
"6","Orellana","Orellana",52,5
"7","Orellana","Orellana",10,2
"8","Orellana","Orellana",31,2
"9","Orellana","Orellana",22,4
"10","Orellana","Orellana",17,3
"11","Orellana","Orellana",12,4
"12","Orellana","Orellana",13,7
"13","Orellana","Orellana",14,2
"14","Orellana","Orellana",15,3
"15","Orellana","Orellana",43,3
"16","Orellana","Orellana",19,6
"17","Orellana","Orellana",29,2
"18","Orellana","Orellana",23,4
"19","Orellana","Orellana",7,3
"20","Orellana","Orellana",20,2
"21","Orellana","Orellana",24,5
"22","Orellana","Orellana",33,3
"23","Orellana","Orellana",8,2
"24","Orellana","Orellana",5,2
"25","Orellana","Orellana",34,2
"26","Sucumbíos","Shushufindi",3,4
"27","Sucumbíos","Shushufindi",13,5
"28","Sucumbíos","Shushufindi",36,5
"29","Sucumbíos","Shushufindi",11,6
"30","Sucumbíos","Shushufindi",50,2
"31","Sucumbíos","Shushufindi",7,3
"32","Sucumbíos","Shushufindi",14,7
"33","Sucumbíos","Shushufindi",10,5
"34","Sucumbíos","Shushufindi",33,2
"35","Sucumbíos","Shushufindi",25,3
"36","Sucumbíos","Shushufindi",16,6
"37","Sucumbíos","Shushufindi",2,4
"38","Sucumbíos","Shushufindi",6,4
"39","Sucumbíos","Shushufindi",18,2
"40","Sucumbíos","Shushufindi",37,4
"41","Sucumbíos","Shushufindi",5,7
"42","Sucumbíos","Shushufindi",26,4
"43","Sucumbíos","Shushufindi",21,3
"44","Sucumbíos","Shushufindi",29,2
"45","Sucumbíos","Shushufindi",9,2
"46","Sucumbíos","Shushufindi",4,2
"47","Sucumbíos","Shushufindi",12,3
"48","Sucumbíos","Shushufindi",32,2
"49","Los Ríos","Quevedo",15,5
"50","Los Ríos","Quevedo",9,5
"51","Los Ríos","Quevedo",24,9
"52","Los Ríos","Quevedo",7,4
"53","Los Ríos","Quevedo",10,2
"54","Los Ríos","Quevedo",19,5
"55","Los Ríos","Quevedo",5,8
"56","Los Ríos","Quevedo",11,5
"57","Los Ríos","Quevedo",27,7
"58","Los Ríos","Quevedo",20,7
"59","Los Ríos","Quevedo",12,2
"60","Los Ríos","Quevedo",23,2
"61","Los Ríos","Quevedo",8,2
"62","Los Ríos","Quevedo",31,2
"63","Los Ríos","Quevedo",18,4
"64","Los Ríos","Quevedo",25,6
"65","Los Ríos","Quevedo",17,3
"66","Los Ríos","Quevedo",39,2
"67","Los Ríos","Quevedo",26,3
"68","Los Ríos","Quevedo",21,3
"69","Los Ríos","Quevedo",4,2
"70","Los Ríos","Quevedo",40,2
"71","Guayas","Guayaquil",21,110
"72","Guayas","Guayaquil",24,71
"73","Guayas","Guayaquil",19,102
"74","Guayas","Guayaquil",30,24
"75","Guayas","Guayaquil",28,48
"76","Guayas","Guayaquil",26,53
"77","Guayas","Guayaquil",2,13
"78","Guayas","Guayaquil",15,60
"79","Guayas","Guayaquil",17,82
"80","Guayas","Guayaquil",20,107
"81","Guayas","Guayaquil",23,83
"82","Guayas","Guayaquil",46,3
"83","Guayas","Guayaquil",51,3
"84","Guayas","Guayaquil",14,44
"85","Guayas","Guayaquil",25,62
"86","Guayas","Guayaquil",22,95
"87","Guayas","Guayaquil",18,86
"88","Guayas","Guayaquil",32,15
"89","Guayas","Guayaquil",33,18
"90","Guayas","Guayaquil",40,6
"91","Guayas","Guayaquil",42,7
"92","Guayas","Guayaquil",16,67
"93","Guayas","Guayaquil",13,33
"94","Guayas","Guayaquil",12,29
"95","Guayas","Guayaquil",3,13
"96","Guayas","Guayaquil",31,34
"97","Guayas","Guayaquil",4,13
"98","Guayas","Guayaquil",11,23
"99","Guayas","Guayaquil",8,15
"100","Guayas","Guayaquil",1,13
"101","Guayas","Guayaquil",5,15
"102","Guayas","Guayaquil",37,6
"103","Guayas","Guayaquil",34,16
"104","Guayas","Guayaquil",27,32
"105","Guayas","Guayaquil",43,7
"106","Guayas","Guayaquil",50,6
"107","Guayas","Guayaquil",6,9
"108","Guayas","Guayaquil",9,10
"109","Guayas","Guayaquil",35,5
"110","Guayas","Guayaquil",29,32
"111","Guayas","Guayaquil",36,7
"112","Guayas","Guayaquil",7,12
"113","Guayas","Guayaquil",10,11
"114","Guayas","Guayaquil",44,5
"115","Guayas","Guayaquil",48,3
"116","Guayas","Guayaquil",41,4
"117","Guayas","Guayaquil",39,5
"118","Guayas","Guayaquil",49,2
"119","Guayas","Guayaquil",38,3
"120","Guayas","Guayaquil",52,3
"121","Guayas","Milagro",22,4
"122","Guayas","Milagro",27,5
"123","Guayas","Milagro",29,6
"124","Guayas","Milagro",21,11
"125","Guayas","Milagro",34,2
"126","Guayas","Milagro",45,3
"127","Guayas","Milagro",7,3
"128","Guayas","Milagro",19,5
"129","Guayas","Milagro",14,2
"130","Guayas","Milagro",30,4
"131","Guayas","Milagro",31,5
"132","Guayas","Milagro",33,2
"133","Guayas","Milagro",20,8
"134","Guayas","Milagro",25,4
"135","Guayas","Milagro",10,5
"136","Guayas","Milagro",12,2
"137","Guayas","Milagro",42,2
"138","Guayas","Milagro",23,6
"139","Guayas","Milagro",26,3
"140","Guayas","Milagro",28,4
"141","Guayas","Milagro",24,3
"142","Guayas","Milagro",18,4
"143","Guayas","Milagro",15,2
"144","Santo Domingo de los Tsáchilas","Santo Domingo",22,11
"145","Santo Domingo de los Tsáchilas","Santo Domingo",52,6
"146","Santo Domingo de los Tsáchilas","Santo Domingo",27,8
"147","Santo Domingo de los Tsáchilas","Santo Domingo",1,2
"148","Santo Domingo de los Tsáchilas","Santo Domingo",20,12
"149","Santo Domingo de los Tsáchilas","Santo Domingo",30,10
"150","Santo Domingo de los Tsáchilas","Santo Domingo",40,5
"151","Santo Domingo de los Tsáchilas","Santo Domingo",51,5
"152","Santo Domingo de los Tsáchilas","Santo Domingo",42,6
"153","Santo Domingo de los Tsáchilas","Santo Domingo",21,20
"154","Santo Domingo de los Tsáchilas","Santo Domingo",46,3
"155","Santo Domingo de los Tsáchilas","Santo Domingo",16,10
"156","Santo Domingo de los Tsáchilas","Santo Domingo",25,11
"157","Santo Domingo de los Tsáchilas","Santo Domingo",12,6
"158","Santo Domingo de los Tsáchilas","Santo Domingo",15,12
"159","Santo Domingo de los Tsáchilas","Santo Domingo",24,21
"160","Santo Domingo de los Tsáchilas","Santo Domingo",7,5
"161","Santo Domingo de los Tsáchilas","Santo Domingo",47,3
"162","Santo Domingo de los Tsáchilas","Santo Domingo",34,5
"163","Santo Domingo de los Tsáchilas","Santo Domingo",19,18
"164","Santo Domingo de los Tsáchilas","Santo Domingo",5,5
"165","Santo Domingo de los Tsáchilas","Santo Domingo",31,9
"166","Santo Domingo de los Tsáchilas","Santo Domingo",36,8
"167","Santo Domingo de los Tsáchilas","Santo Domingo",45,6
"168","Santo Domingo de los Tsáchilas","Santo Domingo",33,7
"169","Santo Domingo de los Tsáchilas","Santo Domingo",13,13
"170","Santo Domingo de los Tsáchilas","Santo Domingo",17,8
"171","Santo Domingo de los Tsáchilas","Santo Domingo",26,8
"172","Santo Domingo de los Tsáchilas","Santo Domingo",23,23
"173","Santo Domingo de los Tsáchilas","Santo Domingo",39,2
"174","Santo Domingo de los Tsáchilas","Santo Domingo",38,4
"175","Santo Domingo de los Tsáchilas","Santo Domingo",29,9
"176","Santo Domingo de los Tsáchilas","Santo Domingo",44,4
"177","Santo Domingo de los Tsáchilas","Santo Domingo",32,3
"178","Santo Domingo de los Tsáchilas","Santo Domingo",9,2
"179","Santo Domingo de los Tsáchilas","Santo Domingo",10,4
"180","Santo Domingo de los Tsáchilas","Santo Domingo",11,3
"181","Santo Domingo de los Tsáchilas","Santo Domingo",6,4
"182","Santo Domingo de los Tsáchilas","Santo Domingo",14,6
"183","Santo Domingo de los Tsáchilas","Santo Domingo",35,8
"184","Santo Domingo de los Tsáchilas","Santo Domingo",28,10
"185","Santo Domingo de los Tsáchilas","Santo Domingo",18,10
"186","Santo Domingo de los Tsáchilas","Santo Domingo",2,6
"187","Santo Domingo de los Tsáchilas","Santo Domingo",48,2
"188","Santo Domingo de los Tsáchilas","Santo Domingo",41,2
"189","Santo Domingo de los Tsáchilas","Santo Domingo",4,4
"190","Santo Domingo de los Tsáchilas","Santo Domingo",8,6
"191","Santo Domingo de los Tsáchilas","Santo Domingo",37,2
"192","Los Ríos","Buena Fe",23,21
"193","Los Ríos","Buena Fe",12,5
"194","Los Ríos","Buena Fe",26,4
"195","Los Ríos","Buena Fe",10,3
"196","Los Ríos","Buena Fe",13,3
"197","Los Ríos","Buena Fe",18,9
"198","Los Ríos","Buena Fe",19,13
"199","Los Ríos","Buena Fe",27,5
"200","Los Ríos","Buena Fe",4,2
"201","Los Ríos","Buena Fe",6,2
"202","Los Ríos","Buena Fe",31,2
"203","Los Ríos","Buena Fe",29,3
"204","Los Ríos","Buena Fe",21,7
"205","Los Ríos","Buena Fe",24,7
"206","Los Ríos","Buena Fe",9,5
"207","Los Ríos","Buena Fe",15,3
"208","Los Ríos","Buena Fe",25,3
"209","Los Ríos","Buena Fe",20,8
"210","Los Ríos","Buena Fe",22,6
"211","Los Ríos","Buena Fe",16,3
"212","Los Ríos","Buena Fe",17,4
"213","Los Ríos","Buena Fe",7,2
"214","Los Ríos","Buena Fe",33,3
"215","Los Ríos","Buena Fe",34,2
"216","Los Ríos","Buena Fe",28,2
"217","Los Ríos","Buena Fe",11,2
"218","Los Ríos","Buena Fe",8,2
"219","Los Ríos","Buena Fe",5,2
"220","Los Ríos","Buena Fe",36,2
"221","Santa Elena","Santa Elena",24,20
"222","Santa Elena","Santa Elena",16,9
"223","Santa Elena","Santa Elena",17,16
"224","Santa Elena","Santa Elena",27,18
"225","Santa Elena","Santa Elena",22,22
"226","Santa Elena","Santa Elena",18,15
"227","Santa Elena","Santa Elena",21,31
"228","Santa Elena","Santa Elena",23,35
"229","Santa Elena","Santa Elena",14,8
"230","Santa Elena","Santa Elena",20,34
"231","Santa Elena","Santa Elena",32,2
"232","Santa Elena","Santa Elena",29,5
"233","Santa Elena","Santa Elena",30,9
"234","Santa Elena","Santa Elena",25,17
"235","Santa Elena","Santa Elena",28,13
"236","Santa Elena","Santa Elena",19,12
"237","Santa Elena","Santa Elena",31,10
"238","Santa Elena","Santa Elena",26,19
"239","Santa Elena","Santa Elena",12,3
"240","Santa Elena","Santa Elena",35,2
"241","Santa Elena","Santa Elena",6,2
"242","Santa Elena","Santa Elena",33,3
"243","Santa Elena","Santa Elena",13,5
"244","Santa Elena","Santa Elena",34,5
"245","Santa Elena","Santa Elena",37,2
"246","Santa Elena","Santa Elena",40,3
"247","Santa Elena","Santa Elena",15,5
"248","Santa Elena","Santa Elena",49,2
"249","Santa Elena","Santa Elena",8,2
"250","Santa Elena","Santa Elena",9,2
"251","Santa Elena","Santa Elena",11,2
"252","Los Ríos","Babahoyo",11,19
"253","Los Ríos","Babahoyo",18,18
"254","Los Ríos","Babahoyo",20,13
"255","Los Ríos","Babahoyo",23,12
"256","Los Ríos","Babahoyo",16,18
"257","Los Ríos","Babahoyo",12,14
"258","Los Ríos","Babahoyo",4,4
"259","Los Ríos","Babahoyo",40,4
"260","Los Ríos","Babahoyo",17,13
"261","Los Ríos","Babahoyo",26,2
"262","Los Ríos","Babahoyo",10,15
"263","Los Ríos","Babahoyo",9,16
"264","Los Ríos","Babahoyo",13,14
"265","Los Ríos","Babahoyo",5,3
"266","Los Ríos","Babahoyo",21,11
"267","Los Ríos","Babahoyo",30,4
"268","Los Ríos","Babahoyo",7,7
"269","Los Ríos","Babahoyo",24,5
"270","Los Ríos","Babahoyo",52,2
"271","Los Ríos","Babahoyo",14,15
"272","Los Ríos","Babahoyo",19,13
"273","Los Ríos","Babahoyo",8,6
"274","Los Ríos","Babahoyo",31,3
"275","Los Ríos","Babahoyo",28,2
"276","Los Ríos","Babahoyo",6,8
"277","Los Ríos","Babahoyo",25,6
"278","Los Ríos","Babahoyo",22,10
"279","Los Ríos","Babahoyo",2,6
"280","Los Ríos","Babahoyo",32,2
"281","Los Ríos","Babahoyo",36,2
"282","Los Ríos","Babahoyo",27,2
"283","Los Ríos","Babahoyo",15,8
"284","Los Ríos","Babahoyo",3,3
"285","Sucumbíos","Lago Agrio",33,8
"286","Sucumbíos","Lago Agrio",48,16
"287","Sucumbíos","Lago Agrio",16,7
"288","Sucumbíos","Lago Agrio",50,12
"289","Sucumbíos","Lago Agrio",8,2
"290","Sucumbíos","Lago Agrio",35,3
"291","Sucumbíos","Lago Agrio",36,4
"292","Sucumbíos","Lago Agrio",9,8
"293","Sucumbíos","Lago Agrio",20,9
"294","Sucumbíos","Lago Agrio",4,2
"295","Sucumbíos","Lago Agrio",52,3
"296","Sucumbíos","Lago Agrio",45,5
"297","Sucumbíos","Lago Agrio",47,13
"298","Sucumbíos","Lago Agrio",10,9
"299","Sucumbíos","Lago Agrio",18,6
"300","Sucumbíos","Lago Agrio",30,2
"301","Sucumbíos","Lago Agrio",24,5
"302","Sucumbíos","Lago Agrio",43,4
"303","Sucumbíos","Lago Agrio",40,2
"304","Sucumbíos","Lago Agrio",34,3
"305","Sucumbíos","Lago Agrio",51,4
"306","Sucumbíos","Lago Agrio",26,3
"307","Sucumbíos","Lago Agrio",32,5
"308","Sucumbíos","Lago Agrio",17,3
"309","Sucumbíos","Lago Agrio",23,8
"310","Sucumbíos","Lago Agrio",15,5
"311","Sucumbíos","Lago Agrio",44,5
"312","Sucumbíos","Lago Agrio",27,9
"313","Sucumbíos","Lago Agrio",1,5
"314","Sucumbíos","Lago Agrio",22,6
"315","Sucumbíos","Lago Agrio",6,3
"316","Sucumbíos","Lago Agrio",25,7
"317","Sucumbíos","Lago Agrio",28,4
"318","Sucumbíos","Lago Agrio",11,4
"319","Sucumbíos","Lago Agrio",19,3
"320","Sucumbíos","Lago Agrio",46,7
"321","Sucumbíos","Lago Agrio",38,3
"322","Sucumbíos","Lago Agrio",29,6
"323","Sucumbíos","Lago Agrio",42,5
"324","Sucumbíos","Lago Agrio",21,4
"325","Sucumbíos","Lago Agrio",14,4
"326","Sucumbíos","Lago Agrio",37,2
"327","Sucumbíos","Lago Agrio",49,12
"328","Imbabura","Ibarra",19,2
"329","Cañar","La Troncal",30,4
"330","Cañar","La Troncal",18,6
"331","Cañar","La Troncal",46,4
"332","Cañar","La Troncal",33,2
"333","Cañar","La Troncal",16,5
"334","Cañar","La Troncal",52,4
"335","Cañar","La Troncal",24,3
"336","Cañar","La Troncal",27,3
"337","Cañar","La Troncal",20,6
"338","Cañar","La Troncal",32,2
"339","Cañar","La Troncal",23,8
"340","Cañar","La Troncal",25,5
"341","Cañar","La Troncal",31,2
"342","Cañar","La Troncal",19,5
"343","Cañar","La Troncal",39,2
"344","Cañar","La Troncal",21,5
"345","Cañar","La Troncal",29,3
"346","Cañar","La Troncal",51,2
"347","Cañar","La Troncal",35,2
"348","Cañar","La Troncal",50,2
"349","Cañar","La Troncal",34,2
"350","Cañar","La Troncal",22,5
"351","Cañar","La Troncal",26,2
"352","Cañar","La Troncal",28,2
"353","Cañar","La Troncal",38,4
"354","Manabí","Manta",17,7
"355","Manabí","Manta",15,21
"356","Manabí","Manta",19,16
"357","Manabí","Manta",16,17
"358","Manabí","Manta",29,3
"359","Manabí","Manta",26,3
"360","Manabí","Manta",4,5
"361","Manabí","Manta",18,9
"362","Manabí","Manta",12,9
"363","Manabí","Manta",42,2
"364","Manabí","Manta",13,15
"365","Manabí","Manta",20,10
"366","Manabí","Manta",24,9
"367","Manabí","Manta",28,5
"368","Manabí","Manta",14,6
"369","Manabí","Manta",49,3
"370","Manabí","Manta",5,4
"371","Manabí","Manta",11,4
"372","Manabí","Manta",6,2
"373","Manabí","Manta",7,5
"374","Manabí","Manta",10,2
"375","Manabí","Manta",32,2
"376","Manabí","Manta",39,2
"377","Manabí","Manta",2,6
"378","Manabí","Manta",23,5
"379","Manabí","Manta",21,2
"380","Manabí","Manta",22,3
"381","Manabí","Manta",9,3
"382","Manabí","Manta",30,3
"383","Manabí","Manta",27,3
"384","Manabí","Manta",35,3
"385","Manabí","Manta",31,3
"386","Manabí","Manta",33,3
"387","Manabí","Manta",8,2
"388","Manabí","Manta",25,2
"389","Manabí","Manta",37,2
"390","Guayas","El Empalme",25,5
"391","Guayas","El Empalme",28,2
"392","Guayas","El Empalme",39,5
"393","Guayas","El Empalme",27,3
"394","Guayas","El Empalme",23,7
"395","Guayas","El Empalme",14,2
"396","Guayas","El Empalme",20,9
"397","Guayas","El Empalme",22,4
"398","Guayas","El Empalme",19,4
"399","Guayas","El Empalme",24,6
"400","Guayas","El Empalme",49,2
"401","Guayas","El Empalme",38,3
"402","Guayas","El Empalme",29,2
"403","Guayas","El Empalme",31,2
"404","Guayas","El Empalme",15,2
"405","Guayas","El Empalme",8,2
"406","Guayas","El Empalme",6,3
"407","Guayas","El Empalme",26,4
"408","Guayas","El Empalme",52,3
"409","Guayas","El Empalme",2,2
"410","Guayas","El Empalme",3,3
"411","Guayas","El Empalme",10,2
"412","Guayas","El Empalme",21,6
"413","Guayas","El Empalme",16,4
"414","Guayas","El Empalme",33,2
"415","Guayas","El Empalme",35,2
"416","Guayas","El Empalme",11,2
"417","Esmeraldas","Quinindé",16,7
"418","Esmeraldas","Quinindé",15,7
"419","Esmeraldas","Quinindé",4,2
"420","Esmeraldas","Quinindé",23,2
"421","Esmeraldas","Quinindé",9,2
"422","Esmeraldas","Quinindé",10,2
"423","Esmeraldas","Quinindé",20,3
"424","Esmeraldas","Quinindé",19,10
"425","Esmeraldas","Quinindé",14,4
"426","Esmeraldas","Quinindé",22,3
"427","Esmeraldas","Quinindé",11,2
"428","Esmeraldas","Quinindé",18,3
"429","Esmeraldas","Quinindé",8,3
"430","Esmeraldas","Quinindé",5,4
"431","Manabí","Jipijapa",18,4
"432","Manabí","Jipijapa",17,4
"433","Manabí","Jipijapa",25,4
"434","Manabí","Jipijapa",20,4
"435","Manabí","Jipijapa",13,4
"436","Manabí","Jipijapa",42,2
"437","Manabí","Jipijapa",15,2
"438","Manabí","Jipijapa",24,3
"439","Manabí","Jipijapa",16,3
"440","Manabí","Jipijapa",19,2
"441","Manabí","Chone",1,2
"442","Manabí","Chone",9,5
"443","Manabí","Chone",7,4
"444","Manabí","Chone",29,10
"445","Manabí","Chone",19,12
"446","Manabí","Chone",8,4
"447","Manabí","Chone",26,4
"448","Manabí","Chone",3,6
"449","Manabí","Chone",16,9
"450","Manabí","Chone",22,4
"451","Manabí","Chone",20,6
"452","Manabí","Chone",17,8
"453","Manabí","Chone",10,4
"454","Manabí","Chone",21,6
"455","Manabí","Chone",5,7
"456","Manabí","Chone",4,5
"457","Manabí","Chone",11,4
"458","Manabí","Chone",12,4
"459","Manabí","Chone",31,3
"460","Manabí","Chone",23,4
"461","Manabí","Chone",46,2
"462","Manabí","Chone",25,2
"463","Manabí","Chone",15,5
"464","Manabí","Chone",33,2
"465","Manabí","Chone",37,3
"466","Manabí","Chone",18,4
"467","Manabí","Chone",14,4
"468","Manabí","Chone",38,3
"469","Manabí","Portoviejo",20,17
"470","Manabí","Portoviejo",22,9
"471","Manabí","Portoviejo",17,13
"472","Manabí","Portoviejo",16,18
"473","Manabí","Portoviejo",7,6
"474","Manabí","Portoviejo",14,16
"475","Manabí","Portoviejo",19,19
"476","Manabí","Portoviejo",30,4
"477","Manabí","Portoviejo",9,5
"478","Manabí","Portoviejo",47,3
"479","Manabí","Portoviejo",15,12
"480","Manabí","Portoviejo",27,5
"481","Manabí","Portoviejo",32,4
"482","Manabí","Portoviejo",21,10
"483","Manabí","Portoviejo",26,10
"484","Manabí","Portoviejo",8,4
"485","Manabí","Portoviejo",18,7
"486","Manabí","Portoviejo",13,12
"487","Manabí","Portoviejo",49,2
"488","Manabí","Portoviejo",51,3
"489","Manabí","Portoviejo",12,12
"490","Manabí","Portoviejo",24,12
"491","Manabí","Portoviejo",25,15
"492","Manabí","Portoviejo",1,2
"493","Manabí","Portoviejo",50,4
"494","Manabí","Portoviejo",6,5
"495","Manabí","Portoviejo",38,3
"496","Manabí","Portoviejo",23,7
"497","Manabí","Portoviejo",4,2
"498","Manabí","Portoviejo",39,4
"499","Manabí","Portoviejo",10,3
"500","Manabí","Portoviejo",36,2
"501","Manabí","Portoviejo",5,2
"502","Manabí","Portoviejo",3,3
"503","Manabí","Portoviejo",31,4
"504","Manabí","Portoviejo",40,3
"505","Manabí","Portoviejo",37,3
"506","Manabí","Portoviejo",11,9
"507","Manabí","Portoviejo",28,2
"508","Santa Elena","La Libertad",15,3
"509","Santa Elena","La Libertad",14,3
"510","Santa Elena","La Libertad",25,5
"511","Santa Elena","La Libertad",26,10
"512","Santa Elena","La Libertad",19,10
"513","Santa Elena","La Libertad",20,5
"514","Santa Elena","La Libertad",22,13
"515","Santa Elena","La Libertad",21,15
"516","Santa Elena","La Libertad",24,6
"517","Santa Elena","La Libertad",31,2
"518","Santa Elena","La Libertad",16,2
"519","Santa Elena","La Libertad",18,3
"520","Santa Elena","La Libertad",33,2
"521","Santa Elena","La Libertad",23,2
"522","Santa Elena","La Libertad",28,3
"523","El Oro","Pasaje",29,10
"524","El Oro","Pasaje",25,11
"525","El Oro","Pasaje",31,4
"526","El Oro","Pasaje",23,19
"527","El Oro","Pasaje",30,12
"528","El Oro","Pasaje",28,8
"529","El Oro","Pasaje",17,15
"530","El Oro","Pasaje",21,15
"531","El Oro","Pasaje",24,7
"532","El Oro","Pasaje",18,15
"533","El Oro","Pasaje",19,14
"534","El Oro","Pasaje",20,15
"535","El Oro","Pasaje",26,11
"536","El Oro","Pasaje",14,9
"537","El Oro","Pasaje",10,6
"538","El Oro","Pasaje",33,3
"539","El Oro","Pasaje",11,6
"540","El Oro","Pasaje",15,8
"541","El Oro","Pasaje",22,9
"542","El Oro","Pasaje",16,12
"543","El Oro","Pasaje",3,3
"544","El Oro","Pasaje",4,4
"545","El Oro","Pasaje",12,9
"546","El Oro","Pasaje",32,2
"547","El Oro","Pasaje",27,5
"548","El Oro","Pasaje",8,4
"549","El Oro","Pasaje",9,2
"550","El Oro","Pasaje",13,7
"551","El Oro","Pasaje",37,3
"552","El Oro","Pasaje",36,2
"553","El Oro","Pasaje",7,4
"554","El Oro","Pasaje",41,3
"555","El Oro","Pasaje",2,3
"556","El Oro","Pasaje",35,3
"557","El Oro","Pasaje",34,3
"558","El Oro","Pasaje",48,2
"559","El Oro","Machala",34,3
"560","El Oro","Machala",19,16
"561","El Oro","Machala",21,14
"562","El Oro","Machala",17,15
"563","El Oro","Machala",29,14
"564","El Oro","Machala",22,17
"565","El Oro","Machala",24,18
"566","El Oro","Machala",31,7
"567","El Oro","Machala",23,18
"568","El Oro","Machala",20,20
"569","El Oro","Machala",38,3
"570","El Oro","Machala",18,16
"571","El Oro","Machala",25,8
"572","El Oro","Machala",12,6
"573","El Oro","Machala",14,7
"574","El Oro","Machala",4,2
"575","El Oro","Machala",15,12
"576","El Oro","Machala",51,3
"577","El Oro","Machala",26,6
"578","El Oro","Machala",7,4
"579","El Oro","Machala",33,8
"580","El Oro","Machala",39,4
"581","El Oro","Machala",32,9
"582","El Oro","Machala",27,8
"583","El Oro","Machala",46,3
"584","El Oro","Machala",9,3
"585","El Oro","Machala",8,5
"586","El Oro","Machala",11,4
"587","El Oro","Machala",35,3
"588","El Oro","Machala",28,3
"589","El Oro","Machala",30,6
"590","El Oro","Machala",50,3
"591","El Oro","Machala",6,2
"592","El Oro","Machala",13,4
"593","El Oro","Machala",43,2
"594","El Oro","Machala",40,4
"595","El Oro","Machala",3,2
"596","El Oro","Machala",1,2
"597","El Oro","Machala",42,2
"598","El Oro","Machala",16,5
"599","El Oro","Arenillas",16,10
"600","El Oro","Arenillas",21,10
"601","El Oro","Arenillas",30,3
"602","El Oro","Arenillas",13,10
"603","El Oro","Arenillas",25,6
"604","El Oro","Arenillas",19,9
"605","El Oro","Arenillas",23,6
"606","El Oro","Arenillas",17,6
"607","El Oro","Arenillas",11,9
"608","El Oro","Arenillas",18,8
"609","El Oro","Arenillas",12,9
"610","El Oro","Arenillas",20,6
"611","El Oro","Arenillas",26,3
"612","El Oro","Arenillas",14,12
"613","El Oro","Arenillas",22,6
"614","El Oro","Arenillas",8,2
"615","El Oro","Arenillas",6,2
"616","El Oro","Arenillas",24,6
"617","El Oro","Arenillas",15,6
"618","El Oro","Arenillas",9,3
"619","El Oro","Arenillas",27,5
"620","El Oro","Arenillas",28,4
"621","El Oro","Arenillas",29,4
"622","Loja","Loja",21,3
"623","Loja","Loja",29,2
"624","Loja","Loja",25,2
"625","Loja","Loja",14,2
"626","Guayas","Naranjito",25,8
"627","Guayas","Naranjito",23,7
"628","Guayas","Naranjito",22,7
"629","Guayas","Naranjito",21,4
"630","Guayas","Naranjito",34,2
"631","Guayas","Naranjito",26,3
"632","Guayas","Naranjito",29,4
"633","Guayas","Naranjito",24,6
"634","Guayas","Naranjito",20,2
"635","Guayas","Naranjito",45,2
"636","Guayas","Naranjito",31,4
"637","Guayas","Naranjito",36,3
"638","Guayas","Naranjito",30,2
"639","Guayas","Naranjito",27,3
"640","Guayas","Naranjito",28,4
"641","Manabí","Bolívar",23,5
