PROVINCIA,CANTON,SE,NÃšM..CASOS
Esmeraldas,2,46,2
El Oro,3,9,9
El Oro,3,12,6
El Oro,3,14,7
El Oro,3,7,3
El Oro,3,23,4
El Oro,3,8,3
El Oro,3,15,11
El Oro,3,18,3
El Oro,3,20,6
El Oro,3,4,2
El Oro,3,11,2
El Oro,3,19,3
El Oro,3,2,2
El Oro,3,13,2
El Oro,3,10,2
El Oro,3,16,6
El Oro,3,17,3
Manabí,4,7,2
Manabí,4,20,3
Sucumbíos,5,25,2
Los Ríos,6,5,2
Los Ríos,6,8,2
Los Ríos,6,21,2
Los Ríos,6,22,2
Los Ríos,6,23,2
Guayas,7,45,2
Guayas,8,10,4
Guayas,8,13,3
Guayas,8,5,2
Guayas,8,7,3
Guayas,8,11,3
Guayas,8,20,2
Manabí,9,50,2
Manabí,9,7,2
Manabí,9,11,2
Manabí,9,9,2
Manabí,9,17,2
Manabí,9,32,2
Los Ríos,10,8,2
Los Ríos,10,15,2
Los Ríos,10,19,3
Los Ríos,10,28,3
Santa Elena,11,8,2
Santa Elena,11,12,2
Santa Elena,11,14,2
Santa Elena,11,16,2
Santa Elena,11,15,3
Santa Elena,11,18,4
Santa Elena,11,19,4
Santa Elena,11,20,2
Santa Elena,11,22,7
Santa Elena,11,24,5
Santa Elena,11,25,2
Santa Elena,11,23,3
Santa Elena,11,32,3
Santa Elena,11,33,2
Santa Elena,11,34,2
Santa Elena,11,36,2
Orellana,12,1,3
Orellana,12,2,2
Orellana,12,6,2
Orellana,12,7,2
Orellana,12,8,2
Orellana,12,11,3
Orellana,12,9,3
Orellana,12,15,2
Orellana,12,18,2
Los Ríos,15,9,7
Los Ríos,15,19,2
Los Ríos,15,2,3
Los Ríos,15,7,7
Los Ríos,15,6,3
Los Ríos,15,8,4
Los Ríos,15,3,4
Los Ríos,15,12,2
Los Ríos,15,5,6
Los Ríos,15,11,6
Los Ríos,15,10,2
Los Ríos,15,13,2
Los Ríos,15,14,2
Los Ríos,15,28,3
Guayas,18,19,2
Guayas,19,6,6
Guayas,19,5,4
Guayas,19,7,6
Guayas,19,8,5
Guayas,19,3,3
Guayas,19,10,6
Guayas,19,11,8
Guayas,19,9,5
Guayas,19,1,3
Guayas,19,12,2
Guayas,19,13,5
Guayas,19,15,4
Guayas,19,14,5
Guayas,19,16,5
Guayas,19,17,7
Guayas,19,19,7
Guayas,19,20,3
Guayas,19,25,5
Guayas,19,18,3
Guayas,19,21,4
Guayas,19,24,2
Guayas,19,23,2
Guayas,19,28,2
Guayas,19,26,4
Guayas,19,39,2
Guayas,19,32,5
Guayas,19,41,2
Guayas,19,38,2
Guayas,19,37,2
Guayas,19,36,3
Guayas,19,35,2
Santo Domingo de los Tsáchilas,20,19,4
Santo Domingo de los Tsáchilas,20,6,2
Santo Domingo de los Tsáchilas,20,2,3
Santo Domingo de los Tsáchilas,20,10,2
Santo Domingo de los Tsáchilas,20,13,3
Santo Domingo de los Tsáchilas,20,16,4
Santo Domingo de los Tsáchilas,20,14,5
Santo Domingo de los Tsáchilas,20,3,2
Santo Domingo de los Tsáchilas,20,20,3
Santo Domingo de los Tsáchilas,20,21,2
Santo Domingo de los Tsáchilas,20,22,2
Santo Domingo de los Tsáchilas,20,27,3
Santo Domingo de los Tsáchilas,20,38,3
Santo Domingo de los Tsáchilas,20,39,2
El Oro,21,2,2
El Oro,21,9,2
El Oro,21,13,2
El Oro,21,16,4
El Oro,21,19,6
El Oro,21,25,3
El Oro,21,30,2
Cañar,22,4,2
Cañar,22,6,2
Cañar,22,28,2
Esmeraldas,23,13,2
Esmeraldas,23,12,2
Esmeraldas,23,22,3
Esmeraldas,23,29,2
Esmeraldas,23,45,2
Esmeraldas,23,47,4
Esmeraldas,23,48,3
Chimborazo,24,1,2
Sucumbíos,25,2,8
Sucumbíos,25,4,6
Sucumbíos,25,1,5
Sucumbíos,25,3,4
Sucumbíos,25,9,4
Sucumbíos,25,10,3
Sucumbíos,25,15,5
Sucumbíos,25,5,5
Sucumbíos,25,6,4
Sucumbíos,25,7,4
Sucumbíos,25,18,3
Sucumbíos,25,40,4
Sucumbíos,25,41,2
Sucumbíos,25,44,2
Esmeraldas,26,9,2
Esmeraldas,26,13,2
Esmeraldas,26,45,2
Guayas,28,6,3
Guayas,29,8,4
Guayas,29,10,2
Guayas,29,7,2
Guayas,29,14,2
Guayas,29,20,3
Guayas,29,18,2
Guayas,29,19,4
Guayas,29,23,2
Guayas,29,27,2
Guayas,29,41,2
Manabí,30,4,2
Manabí,30,8,4
Manabí,30,9,2
Manabí,30,11,2
Manabí,30,18,2
Manabí,31,4,3
Manabí,31,5,4
Manabí,31,3,2
Manabí,31,16,2
Manabí,31,15,2
Manabí,31,19,2
Manabí,32,11,2
Manabí,32,16,2
Manabí,32,19,3
Manabí,32,24,2
Esmeraldas,34,13,2
Pichincha,35,33,3
Pichincha,35,35,2
Santa Elena,36,9,2
Santa Elena,36,18,2
Santa Elena,36,37,2
Santa Elena,39,10,2
Santa Elena,39,18,3
Los Ríos,40,16,2
Los Ríos,40,32,3
Guayas,44,20,2
Manabí,45,4,4
Manabí,45,6,3
Manabí,45,7,3
Manabí,45,10,4
Manabí,45,15,2
Morona Santiago,46,14,2
Guayas,49,15,1
El Oro,53,9,3
El Oro,53,10,3
El Oro,53,11,2
El Oro,53,12,2
El Oro,53,13,3
El Oro,53,14,6
El Oro,53,15,7
El Oro,53,17,2
El Oro,53,18,2
El Oro,53,21,2
Bolívar,55,20,1
Guayas,60,29,2
Zamora Chinchipe,62,27,1
Cotopaxi,63,8,1
El Oro,64,5,2
Tungurahua,65,9,1
Los Ríos,66,36,1
Napo,68,10,1
Morona Santiago,69,28,2
Loja,70,17,2
Loja,71,18,3
Loja,72,38,2
Cotopaxi,1,23,1
Cotopaxi,1,12,1
Cotopaxi,1,5,1
Cotopaxi,1,2,1
Cotopaxi,1,38,1
Esmeraldas,2,51,1
Esmeraldas,2,8,1
Esmeraldas,2,12,1
Esmeraldas,2,20,1
Esmeraldas,2,27,1
Esmeraldas,2,44,1
Esmeraldas,2,47,1
El Oro,3,41,1
El Oro,3,45,1
El Oro,3,47,1
El Oro,3,46,1
El Oro,3,3,1
El Oro,3,6,1
El Oro,3,21,1
El Oro,3,25,1
El Oro,3,48,1
El Oro,3,28,1
El Oro,3,29,1
El Oro,3,37,1
El Oro,3,24,1
Manabí,4,48,1
Manabí,4,9,1
Manabí,4,11,1
Manabí,4,12,1
Manabí,4,5,1
Manabí,4,16,1
Manabí,4,17,1
Manabí,4,21,1
Manabí,4,4,1
Manabí,4,18,1
Manabí,4,26,1
Manabí,4,27,1
Manabí,4,37,1
Manabí,4,46,1
Sucumbíos,5,51,1
Sucumbíos,5,13,1
Sucumbíos,5,1,1
Sucumbíos,5,2,1
Sucumbíos,5,3,1
Sucumbíos,5,24,1
Sucumbíos,5,27,1
Sucumbíos,5,31,1
Sucumbíos,5,35,1
Sucumbíos,5,11,1
Sucumbíos,5,16,1
Sucumbíos,5,41,1
Los Ríos,6,49,1
Los Ríos,6,45,1
Los Ríos,6,46,1
Los Ríos,6,1,1
Los Ríos,6,4,1
Los Ríos,6,10,1
Los Ríos,6,14,1
Los Ríos,6,15,1
Los Ríos,6,17,1
