"","PROVINCIA","CANTON","SE","NÚM..CASOS"
"1","1","CUENCA",11,3
"2","1","PAUTE",13,1
"3","2","SAN MIGUEL",52,1
"4","3","AZOGUES",25,1
"5","3","LA TRONCAL",11,4
"6","3","LA TRONCAL",12,2
"7","5","LATACUNGA",18,1
"8","5","LA MANA",8,2
"9","5","PUJILI",11,1
"10","7","MACHALA",12,16
"11","7","MACHALA",3,2
"12","7","MACHALA",14,10
"13","7","MACHALA",6,12
"14","7","MACHALA",11,17
"15","7","MACHALA",47,4
"16","7","MACHALA",5,7
"17","7","MACHALA",16,3
"18","7","MACHALA",13,16
"19","7","MACHALA",7,19
"20","7","MACHALA",46,3
"21","7","MACHALA",17,6
"22","7","MACHALA",22,2
"23","7","MACHALA",30,4
"24","7","MACHALA",4,6
"25","7","MACHALA",35,4
"26","7","MACHALA",48,2
"27","7","MACHALA",31,2
"28","7","MACHALA",10,10
"29","7","MACHALA",21,5
"30","7","MACHALA",9,10
"31","7","MACHALA",27,5
"32","7","MACHALA",25,3
"33","7","MACHALA",8,15
"34","7","MACHALA",43,2
"35","7","MACHALA",20,6
"36","7","MACHALA",29,4
"37","7","MACHALA",18,5
"38","7","MACHALA",19,7
"39","7","MACHALA",34,2
"40","7","MACHALA",2,3
"41","7","MACHALA",26,4
"42","7","MACHALA",40,2
"43","7","MACHALA",15,5
"44","7","MACHALA",23,8
"45","7","MACHALA",42,2
"46","7","MACHALA",51,4
"47","7","MACHALA",39,3
"48","7","MACHALA",24,5
"49","7","ARENILLAS",13,4
"50","7","ARENILLAS",12,2
"51","7","ARENILLAS",11,2
"52","7","EL GUABO",20,5
"53","7","EL GUABO",17,4
"54","7","EL GUABO",18,4
"55","7","EL GUABO",21,4
"56","7","EL GUABO",16,3
"57","7","EL GUABO",24,2
"58","7","EL GUABO",27,2
"59","7","EL GUABO",25,2
"60","7","EL GUABO",15,4
"61","7","EL GUABO",14,2
"62","7","HUAQUILLAS",40,3
"63","7","HUAQUILLAS",41,2
"64","7","HUAQUILLAS",29,4
"65","7","HUAQUILLAS",5,2
"66","7","HUAQUILLAS",8,3
"67","7","HUAQUILLAS",21,2
"68","7","HUAQUILLAS",11,3
"69","7","HUAQUILLAS",32,2
"70","7","HUAQUILLAS",31,2
"71","7","HUAQUILLAS",30,2
"72","7","HUAQUILLAS",20,2
"73","7","PASAJE",39,2
"74","7","PASAJE",29,2
"75","7","PASAJE",15,2
"76","7","PASAJE",19,2
"77","7","PASAJE",28,2
"78","7","PASAJE",26,3
"79","7","PASAJE",18,2
"80","7","PASAJE",7,2
"81","7","PASAJE",44,2
"82","7","PASAJE",13,2
"83","7","PASAJE",16,2
"84","7","PASAJE",25,2
"85","7","PASAJE",11,2
"86","7","PIÑAS",12,2
"87","7","PIÑAS",10,2
"88","7","SANTA ROSA",28,2
"89","7","SANTA ROSA",7,2
"90","7","SANTA ROSA",20,8
"91","7","SANTA ROSA",18,3
"92","7","SANTA ROSA",25,3
"93","7","SANTA ROSA",9,2
"94","7","SANTA ROSA",23,4
"95","7","SANTA ROSA",12,3
"96","7","SANTA ROSA",21,2
"97","7","SANTA ROSA",5,2
"98","7","SANTA ROSA",19,4
"99","7","SANTA ROSA",26,2
"100","8","ESMERALDAS",44,3
"101","8","ESMERALDAS",40,2
"102","8","ESMERALDAS",10,6
"103","8","ESMERALDAS",42,3
"104","8","ESMERALDAS",14,6
"105","8","ESMERALDAS",12,7
"106","8","ESMERALDAS",41,3
"107","8","ESMERALDAS",11,2
"108","8","ESMERALDAS",47,2
"109","8","ESMERALDAS",13,2
"110","8","ESMERALDAS",32,2
"111","8","ESMERALDAS",21,4
"112","8","ESMERALDAS",2,2
"113","8","ESMERALDAS",50,4
"114","8","ESMERALDAS",17,2
"115","8","ESMERALDAS",9,6
"116","8","ESMERALDAS",36,2
"117","8","ESMERALDAS",6,4
"118","8","ESMERALDAS",7,4
"119","8","ESMERALDAS",45,2
"120","8","ESMERALDAS",5,6
"121","8","ESMERALDAS",34,5
"122","8","ESMERALDAS",16,2
"123","8","ESMERALDAS",8,3
"124","8","ESMERALDAS",3,2
"125","8","ESMERALDAS",4,2
"126","8","ELOY ALFARO",44,2
"127","8","ELOY ALFARO",9,2
"128","8","ELOY ALFARO",52,2
"129","8","ELOY ALFARO",51,2
"130","8","ELOY ALFARO",4,3
"131","8","ELOY ALFARO",3,5
"132","8","ELOY ALFARO",2,3
"133","8","ELOY ALFARO",13,2
"134","8","QUININDE",5,7
"135","8","QUININDE",16,4
"136","8","QUININDE",7,8
"137","8","QUININDE",2,9
"138","8","QUININDE",15,8
"139","8","QUININDE",3,5
"140","8","QUININDE",24,2
"141","8","QUININDE",6,12
"142","8","QUININDE",9,3
"143","8","QUININDE",17,2
"144","8","QUININDE",19,3
"145","8","QUININDE",8,10
"146","8","QUININDE",1,13
"147","8","QUININDE",4,5
"148","8","QUININDE",14,3
"149","8","QUININDE",12,8
"150","8","QUININDE",10,13
"151","8","QUININDE",11,6
"152","8","QUININDE",18,2
"153","8","QUININDE",13,2
"154","8","SAN LORENZO",31,2
"155","8","SAN LORENZO",7,4
"156","8","SAN LORENZO",11,3
"157","8","SAN LORENZO",14,2
"158","8","SAN LORENZO",8,4
"159","8","SAN LORENZO",17,2
"160","8","SAN LORENZO",5,2
"161","8","SAN LORENZO",12,3
"162","8","SAN LORENZO",6,2
"163","8","SAN LORENZO",9,2
"164","8","ATACAMES",12,2
"165","8","ATACAMES",9,3
"166","8","ATACAMES",10,3
"167","8","ATACAMES",15,2
"168","8","ATACAMES",5,8
"169","8","ATACAMES",8,5
"170","8","ATACAMES",4,2
"171","8","ATACAMES",14,2
"172","8","ATACAMES",2,2
"173","8","ATACAMES",6,4
"174","8","ATACAMES",1,2
"175","9","GUAYAQUIL",3,30
"176","9","GUAYAQUIL",31,25
"177","9","GUAYAQUIL",12,144
"178","9","GUAYAQUIL",52,33
"179","9","GUAYAQUIL",18,42
"180","9","GUAYAQUIL",47,14
"181","9","GUAYAQUIL",1,9
"182","9","GUAYAQUIL",6,36
"183","9","GUAYAQUIL",23,39
"184","9","GUAYAQUIL",10,74
"185","9","GUAYAQUIL",17,59
"186","9","GUAYAQUIL",2,17
"187","9","GUAYAQUIL",49,19
"188","9","GUAYAQUIL",13,68
"189","9","GUAYAQUIL",27,32
"190","9","GUAYAQUIL",9,57
"191","9","GUAYAQUIL",19,43
"192","9","GUAYAQUIL",20,37
"193","9","GUAYAQUIL",14,49
"194","9","GUAYAQUIL",16,38
"195","9","GUAYAQUIL",26,39
"196","9","GUAYAQUIL",51,18
"197","9","GUAYAQUIL",46,18
"198","9","GUAYAQUIL",11,122
