ID,LABEL,STATUS
1,CUENCA,INTERANDEAN
2,SANTA ISABEL,GALAPAGOS
3,SIGSIG,INTERANDEAN
4,GUARANDA,COAST
5,AZOGUES,INTERANDEAN
6,LA TRONCAL,INTERANDEAN
7,LATACUNGA,INTERANDEAN
8,LA MANA,INTERANDEAN
9,PUJILI,INTERANDEAN
10,RIOBAMBA,INTERANDEAN
11,COLTA,INTERANDEAN
12,MACHALA,COAST
13,ARENILLAS,COAST
14,EL GUABO,COAST
15,HUAQUILLAS,COAST
16,PASAJE,COAST
17,PIÑAS,COAST
18,SANTA ROSA,COAST
19,ESMERALDAS,COAST
20,ELOY ALFARO,COAST
21,MUISNE,COAST
22,QUININDE,COAST
23,SAN LORENZO,COAST
24,ATACAMES,COAST
25,GUAYAQUIL,COAST
26,BALZAR,COAST
27,DAULE,COAST
28,DURAN,COAST
29,EMPALME,COAST
30,EL TRIUNFO,COAST
31,MILAGRO,COAST
32,NARANJAL,COAST
33,NARANJITO,COAST
34,SAN JACINTO DE YAGUACHI,COAST
35,PLAYAS,COAST
36,CRNEL. MARCELINO MARIDUEÑA,COAST
37,IBARRA,INTERANDEAN
38,LOJA,INTERANDEAN
39,CALVAS,INTERANDEAN
40,MACARA,INTERANDEAN
41,PUYANGO,INTERANDEAN
42,BABAHOYO,COAST
43,BABA,COAST
44,QUEVEDO,COAST
45,URDANETA,COAST
46,VENTANAS,COAST
47,VINCES,COAST
48,BUENA FE,COAST
49,PORTOVIEJO,COAST
50,BOLIVAR,COAST
51,CHONE,COAST
52,EL CARMEN,COAST
53,FLAVIO ALFARO,COAST
54,JIPIJAPA,COAST
55,MANTA,COAST
56,PAJAN,COAST
57,PICHINCHA,COAST
58,ROCAFUERTE,COAST
59,SUCRE,COAST
60,MORONA,AMAZONIA
61,LIMON INDANZA,AMAZONIA
62,SANTIAGO,AMAZONIA
63,SUCUA,AMAZONIA
64,TAISHA,AMAZONIA
65,TENA,AMAZONIA
66,QUIJOS,AMAZONIA
67,PASTAZA,AMAZONIA
68,QUITO,INTERANDEAN
69,PEDRO VICENTE MALDONADO,COAST
70,AMBATO,INTERANDEAN
71,SAN PEDRO DE PELILEO,INTERANDEAN
72,ZAMORA,AMAZONIA
73,YANTZAZA,AMAZONIA
74,LAGO AGRIO,AMAZONIA
75,SHUSHUFINDI,AMAZONIA
76,ORELLANA,AMAZONIA
77,AGUARICO,AMAZONIA
78,SANTO DOMINGO,COAST
79,SANTA ELENA,COAST
80,LA LIBERTAD,COAST
81,SALINAS,COAST
