Id,Label,STATUS
1,ESMERALDAS,COAST
2,GUAYAQUIL,COAST
3,ATACAMES,COAST
4,ARENILLAS,COAST
5,SANTO DOMINGO,COAST
6,HUAQUILLAS,COAST
7,QUEVEDO,COAST
8,SANTA ROSA,COAST
9,QUININDE,COAST
10,LAGO AGRIO,AMAZONIA
11,MACHALA,COAST
12,JIPIJAPA,COAST
13,MILAGRO,COAST
14,SAN LORENZO,COAST
15,LOJA,INTERANDEAN
16,EMPALME,COAST
17,SALINAS,COAST
18,BABAHOYO,COAST
19,ORELLANA,AMAZONIA
20,PLAYAS,COAST
21,PASAJE,COAST
22,PICHINCHA,COAST
23,TENA,AMAZONIA
24,CHONE,COAST
25,SALITRE,COAST
26,SAN JACINTO DE YAGUACHI,COAST
27,DAULE,COAST
28,SHUSHUFINDI,AMAZONIA
29,NARANJITO,COAST
30,EL GUABO,COAST
31,PORTOVIEJO,COAST
32,NARANJAL,COAST
33,BALZAR,COAST
34,EL TRIUNFO,COAST
35,VENTANAS,COAST
36,BOLÍVAR,COAST
37,PAJÁN,COAST
38,MANTA,COAST
39,PANGUA,COAST
40,QUITO,INTERANDEAN
41,VINCES,COAST
42,EL CARMEN,COAST
43,SANTA CRUZ,GALAPAGOS
44,MUISNE,COAST
45,URDANETA,COAST
46,MACARÁ,INTERANDEAN
47,ROCAFUERTE,COAST
48,AGUARICO,AMAZONIA
49,SANTA ELENA,COAST
50,ELOY ALFARO,COAST
51,LA TRONCAL,INTERANDEAN
52,GUARANDA,COAST
53,LA LIBERTAD,COAST
54,YANTZAZA,AMAZONIA
55,SUCÚA,AMAZONIA
56,SANTIAGO,AMAZONIA
57,MORONA,AMAZONIA
58,BUENA FÉ,COAST
59,CUENCA,INTERANDEAN
60,IBARRA,INTERANDEAN
61,GUALAQUIZA,AMAZONIA
62,PASTAZA,AMAZONIA
63,DURÁN,COAST
64,SUCRE,COAST
65,LA MANÁ,INTERANDEAN
66,LATACUNGA,INTERANDEAN
67,RIOBAMBA,INTERANDEAN
68,ZARUMA,AMAZONIA
69,SANTA ISABEL,GALAPAGOS
70,ZAMORA,AMAZONIA
71,SAMBORONDÓN,COAST
72,CHILLANES,COAST
73,CRNEL. MARCELINO MARIDUEÑA,COAST
74,PALTAS,INTERANDEAN
75,TAISHA,AMAZONIA
76,SAN CRISTOBAL,GALAPAGOS
77,PIÑAS,COAST
78,GIRÓN,INTERANDEAN
79,PEDRO VICENTE MALDONADO,COAST
80,PUYANGO,INTERANDEAN
81,QUIJOS,AMAZONIA
82,BABA,COAST
83,FLAVIO ALFARO,COAST
