"","i","j","w"
"1",1,4,0.03125
"2",1,7,0.03125
"3",1,10,0.03125
"4",1,13,0.03125
"5",1,14,0.03125
"6",1,15,0.03125
"7",1,17,0.03125
"8",1,18,0.03125
"9",1,19,0.03125
"10",1,20,0.03125
"11",1,21,0.03125
"12",1,22,0.03125
"13",1,23,0.03125
"14",1,26,0.03125
"15",1,28,0.03125
"16",1,30,0.03125
"17",1,31,0.03125
"18",1,32,0.03125
"19",1,33,0.03125
"20",1,34,0.03125
"21",1,38,0.03125
"22",1,40,0.03125
"23",1,41,0.03125
"24",1,45,0.03125
"25",1,52,0.03125
"26",1,53,0.03125
"27",1,55,0.03125
"28",1,57,0.03125
"29",1,59,0.03125
"30",1,75,0.03125
"31",1,79,0.03125
"32",1,85,0.03125
"33",2,10,0.0769230769230769
"34",2,13,0.0769230769230769
"35",2,26,0.0769230769230769
"36",2,31,0.0769230769230769
"37",2,32,0.0769230769230769
"38",2,35,0.0769230769230769
"39",2,41,0.0769230769230769
"40",2,47,0.0769230769230769
"41",2,52,0.0769230769230769
"42",2,53,0.0769230769230769
"43",2,54,0.0769230769230769
"44",2,55,0.0769230769230769
"45",2,56,0.0769230769230769
"46",3,7,0.0384615384615385
"47",3,10,0.0384615384615385
"48",3,13,0.0384615384615385
"49",3,14,0.0384615384615385
"50",3,15,0.0384615384615385
"51",3,16,0.0384615384615385
"52",3,17,0.0384615384615385
"53",3,19,0.0384615384615385
"54",3,20,0.0384615384615385
"55",3,21,0.0384615384615385
"56",3,22,0.0384615384615385
"57",3,23,0.0384615384615385
"58",3,26,0.0384615384615385
"59",3,31,0.0384615384615385
"60",3,32,0.0384615384615385
"61",3,33,0.0384615384615385
"62",3,34,0.0384615384615385
"63",3,38,0.0384615384615385
"64",3,41,0.0384615384615385
"65",3,43,0.0384615384615385
"66",3,44,0.0384615384615385
"67",3,45,0.0384615384615385
"68",3,48,0.0384615384615385
"69",3,52,0.0384615384615385
"70",3,53,0.0384615384615385
