SOURCE,TARGET,WEIGHT
1,2,0.041666667
1,4,0.037037037
1,6,0.038461538
1,12,0.247764715
1,14,0.087121212
1,15,0.162619788
1,16,0.117165242
1,18,0.117165242
1,19,0.303320271
1,20,0.257865725
1,21,0.17226614
1,22,0.247764715
1,23,0.219986937
1,24,0.204286454
1,25,0.303320271
1,29,0.080128205
1,30,0.043478261
1,31,0.16763651
1,32,0.080515298
1,33,0.094017094
1,34,0.223192066
1,35,0.041666667
1,36,0.055555556
1,38,0.078703704
1,39,0.037037037
1,42,0.204286454
1,43,0.041666667
1,44,0.140700483
1,47,0.041666667
1,48,0.087121212
1,49,0.204286454
1,51,0.085144928
1,53,0.041666667
1,55,0.303320271
1,56,0.041666667
1,57,0.045454545
1,58,0.078703704
1,59,0.038461538
1,60,0.055555556
1,62,0.037037037
1,63,0.127394345
1,64,0.117165242
1,65,0.094017094
1,66,0.038461538
1,67,0.038461538
1,68,0.219986937
1,69,0.099033816
1,71,0.041666667
1,72,0.055555556
1,73,0.043478261
1,74,0.303320271
1,75,0.223192066
1,76,0.303320271
1,78,0.303320271
1,79,0.041666667
1,81,0.043478261
2,1,0.041666667
2,12,0.041666667
2,15,0.041666667
2,16,0.041666667
2,19,0.041666667
2,20,0.041666667
2,21,0.041666667
2,22,0.041666667
2,24,0.041666667
2,25,0.041666667
2,35,0.041666667
2,38,0.041666667
2,42,0.041666667
2,47,0.041666667
2,48,0.041666667
2,49,0.041666667
2,55,0.041666667
2,64,0.041666667
2,71,0.041666667
2,74,0.041666667
2,75,0.041666667
2,76,0.041666667
2,78,0.041666667
2,79,0.041666667
3,9,0.055555556
3,12,0.055555556
3,14,0.055555556
3,19,0.055555556
3,22,0.055555556
3,23,0.055555556
3,24,0.055555556
3,25,0.055555556
3,31,0.055555556
3,42,0.055555556
3,43,0.055555556
3,44,0.055555556
3,55,0.055555556
3,65,0.055555556
3,68,0.055555556
3,69,0.055555556
3,76,0.055555556
3,78,0.055555556
4,1,0.037037037
4,6,0.037037037
4,12,0.112535613
4,14,0.125
4,15,0.16015466
4,16,0.123117623
4,18,0.121693122
4,19,0.28515466
4,20,0.28515466
4,21,0.075498575
4,22,0.28515466
4,23,0.075498575
4,24,0.16015466
4,25,0.28515466
4,29,0.038461538
4,31,0.16015466
4,32,0.074074074
4,34,0.075498575
4,35,0.075498575
4,38,0.112535613
4,39,0.074074074
4,42,0.123117623
4,43,0.047619048
4,44,0.084656085
4,49,0.074074074
4,51,0.086080586
4,53,0.037037037
4,54,0.086080586
4,55,0.28515466
4,56,0.037037037
4,58,0.037037037
4,62,0.037037037
4,64,0.037037037
4,65,0.211080586
4,68,0.112535613
4,72,0.038461538
4,73,0.037037037
4,74,0.28515466
4,75,0.16015466
4,76,0.16015466
4,78,0.16015466
4,79,0.037037037
4,80,0.047619048
5,12,0.055555556
5,15,0.055555556
5,16,0.055555556
5,19,0.055555556
5,20,0.055555556
5,21,0.055555556
5,22,0.055555556
5,23,0.055555556
5,24,0.055555556
5,25,0.055555556
5,31,0.055555556
5,51,0.055555556
5,65,0.055555556
5,72,0.055555556
5,73,0.055555556
5,74,0.055555556
5,76,0.055555556
5,78,0.055555556
6,1,0.076923077
6,4,0.037037037
6,7,0.032258065
6,10,0.04
6,12,0.479382004
6,13,0.032258065
6,14,0.04
6,15,0.266095291
6,16,0.226104218
6,17,0.032258065
6,18,0.218476243
6,19,0.479382004
6,20,0.391762956
6,21,0.402458927
6,22,0.479382004
6,23,0.442344967
6,24,0.479382004
6,25,0.479382004
6,26,0.136363636
6,29,0.218362283
6,31,0.370200862
6,32,0.282581815
6,33,0.149181141
6,34,0.136363636
6,35,0.314839879
6,37,0.04
6,38,0.101553166
6,39,0.037037037
6,42,0.273723266
6,44,0.146218178
6,45,0.032258065
6,46,0.076923077
6,47,0.064516129
6,49,0.431762956
6,50,0.032258065
6,51,0.04
6,52,0.047619048
6,53,0.037037037
6,54,0.156800189
6,55,0.479382004
6,56,0.113960114
6,59,0.109181141
6,61,0.032258065
6,62,0.079877112
6,63,0.076923077
6,64,0.153846154
6,65,0.156800189
6,66,0.076923077
6,67,0.245544778
6,68,0.233837226
6,72,0.168621701
6,73,0.402458927
6,74,0.479382004
6,75,0.293277786
6,76,0.479382004
6,78,0.479382004
6,79,0.146218178
6,81,0.032258065
7,6,0.032258065
7,12,0.032258065
7,13,0.032258065
7,15,0.032258065
7,16,0.032258065
7,17,0.032258065
7,18,0.032258065
7,19,0.032258065
7,20,0.032258065
7,21,0.032258065
7,22,0.032258065
7,23,0.032258065
7,24,0.032258065
7,25,0.032258065
7,29,0.032258065
7,35,0.032258065
7,38,0.032258065
7,42,0.032258065
7,47,0.032258065
7,49,0.032258065
7,50,0.032258065
7,55,0.032258065
7,59,0.032258065
7,62,0.032258065
7,72,0.032258065
7,73,0.032258065
7,74,0.032258065
7,75,0.032258065
7,76,0.032258065
7,78,0.032258065
7,79,0.032258065
8,12,0.037037037
8,18,0.037037037
8,19,0.037037037
8,20,0.037037037
8,21,0.037037037
8,22,0.037037037
8,23,0.037037037
8,24,0.037037037
8,25,0.037037037
8,28,0.037037037
8,32,0.037037037
8,34,0.037037037
8,35,0.037037037
8,38,0.037037037
8,44,0.037037037
8,49,0.037037037
8,54,0.037037037
8,55,0.037037037
8,67,0.037037037
8,68,0.037037037
8,73,0.037037037
8,74,0.037037037
8,75,0.037037037
8,76,0.037037037
8,78,0.037037037
8,79,0.037037037
8,80,0.037037037
9,3,0.055555556
9,12,0.055555556
9,14,0.055555556
9,19,0.055555556
9,22,0.055555556
9,23,0.055555556
9,24,0.055555556
9,25,0.055555556
9,31,0.055555556
9,42,0.055555556
9,43,0.055555556
9,44,0.055555556
9,55,0.055555556
9,65,0.055555556
9,68,0.055555556
9,69,0.055555556
9,76,0.055555556
9,78,0.055555556
10,6,0.04
10,11,0.032258065
10,12,0.072258065
10,14,0.04
10,15,0.072258065
10,16,0.04
10,18,0.04
10,19,0.172258065
10,20,0.032258065
10,21,0.072258065
10,22,0.072258065
10,23,0.172258065
10,24,0.172258065
10,25,0.172258065
10,29,0.132258065
10,31,0.172258065
10,32,0.032258065
10,33,0.072258065
10,36,0.032258065
10,37,0.072258065
10,38,0.032258065
10,40,0.032258065
10,42,0.072258065
10,44,0.032258065
10,49,0.04
10,51,0.04
10,53,0.132258065
10,55,0.172258065
10,56,0.032258065
10,58,0.032258065
10,62,0.032258065
10,65,0.032258065
10,68,0.072258065
10,73,0.04
10,74,0.172258065
10,75,0.072258065
10,76,0.172258065
10,78,0.072258065
11,10,0.032258065
11,12,0.032258065
11,15,0.032258065
11,19,0.032258065
11,20,0.032258065
11,21,0.032258065
11,22,0.032258065
11,23,0.032258065
11,24,0.032258065
11,25,0.032258065
11,29,0.032258065
11,31,0.032258065
11,32,0.032258065
11,33,0.032258065
11,36,0.032258065
11,37,0.032258065
11,38,0.032258065
11,40,0.032258065
11,42,0.032258065
11,44,0.032258065
11,53,0.032258065
11,55,0.032258065
11,56,0.032258065
11,58,0.032258065
11,62,0.032258065
11,65,0.032258065
11,68,0.032258065
11,74,0.032258065
11,75,0.032258065
11,76,0.032258065
11,78,0.032258065
12,1,0.544189104
12,2,0.083333333
12,3,0.166666667
12,4,0.378917379
12,5,0.055555556
12,6,0.742227856
12,7,0.096774194
12,8,0.037037037
12,9,0.166666667
12,10,0.176774194
12,11,0.096774194
12,13,0.230107527
12,14,0.946764201
12,15,2.019156405
12,16,1.041091465
12,17,0.270687237
12,18,0.622195111
12,19,3.099650963
12,20,2.296761352
12,21,2.280442856
12,22,3.001815465
12,23,2.355564944
12,24,2.876980155
12,25,3.14727001
12,26,0.396109553
12,28,0.194931774
12,29,1.462895298
12,30,0.086956522
12,31,2.504981292
12,32,1.205589493
12,33,0.485922969
12,34,0.994380228
12,35,1.259295152
12,36,0.096774194
12,37,0.437663879
12,38,0.957426422
12,39,0.148148148
12,40,0.159274194
12,41,0.167816092
12,42,2.362868338
12,43,0.589551282
12,44,1.367830639
12,45,0.212158809
12,46,0.47083612
12,47,0.358983527
12,48,0.5331653
12,49,1.464476453
12,50,0.305169996
12,51,0.932262415
12,52,0.142857143
12,53,0.491170187
12,54,0.629815227
12,55,3.091714455
12,56,0.48815596
12,57,0.183982684
12,58,0.458851931
12,59,0.528314982
12,60,0.034482759
12,61,0.096774194
12,62,0.444962363
12,63,0.296264455
12,64,0.356125356
12,65,1.48812451
12,66,0.038461538
12,67,0.308636405
12,68,2.202424412
12,69,0.706324111
12,70,0.167619048
12,71,0.083333333
12,72,0.820612042
12,73,1.051131524
12,74,2.74727001
12,75,1.942628818
12,76,2.92727001
12,77,0.157894737
12,78,3.013936677
12,79,0.795388092
12,80,0.099537037
12,81,0.317064049
13,6,0.032258065
13,7,0.032258065
13,12,0.065591398
13,15,0.032258065
13,16,0.032258065
13,17,0.032258065
13,18,0.032258065
13,19,0.065591398
13,20,0.065591398
13,21,0.065591398
13,22,0.065591398
13,23,0.065591398
13,24,0.065591398
13,25,0.065591398
13,29,0.065591398
13,31,0.033333333
13,32,0.033333333
13,34,0.033333333
13,35,0.065591398
13,37,0.033333333
13,38,0.065591398
13,41,0.033333333
13,42,0.065591398
13,47,0.032258065
13,49,0.032258065
13,50,0.032258065
13,51,0.033333333
13,55,0.065591398
13,59,0.065591398
13,62,0.032258065
13,68,0.033333333
13,69,0.033333333
13,72,0.065591398
13,73,0.065591398
13,74,0.065591398
13,75,0.065591398
13,76,0.065591398
13,78,0.065591398
13,79,0.065591398
13,81,0.033333333
14,1,0.087121212
14,3,0.055555556
14,4,0.125
14,6,0.04
14,9,0.055555556
14,10,0.04
14,12,0.5827651
14,15,0.424366408
14,16,0.521363636
14,18,0.081666667
14,19,1.044220209
14,20,0.483022942
14,21,0.35238437
14,22,0.807856572
14,23,0.619092004
14,24,0.794220209
14,25,1.044220209
14,26,0.172631579
14,27,0.058823529
14,28,0.105263158
14,29,0.316491841
14,31,0.399961836
14,32,0.263724696
14,33,0.04
14,34,0.139752791
14,35,0.12
14,37,0.176363636
14,38,0.152631579
14,42,0.713957051
14,43,0.380683761
14,44,0.450870926
14,45,0.038461538
14,46,0.12
14,48,0.339712919
14,49,0.285582751
14,51,0.220128205
14,53,0.275315371
14,54,0.261363636
14,55,1.044220209
14,56,0.205128205
14,57,0.045454545
14,58,0.132759784
14,59,0.12
14,63,0.045454545
14,65,0.764467418
14,68,0.718730013
14,69,0.191919192
14,70,0.12
14,72,0.052631579
14,73,0.092631579
14,74,0.988664653
14,75,0.48527972
14,76,0.640396679
14,77,0.105263158
14,78,0.819220209
14,79,0.178823529
14,80,0.058823529
15,1,0.241323491
15,2,0.083333333
15,4,0.30972731
15,5,0.055555556
15,6,0.333965891
15,7,0.032258065
15,10,0.136774194
15,11,0.096774194
15,12,1.200138224
15,13,0.032258065
15,14,0.333457317
15,16,0.580793574
15,17,0.075736325
15,18,0.451518226
15,19,1.561841724
15,20,1.122963804
15,21,0.98843463
15,22,1.410160072
15,23,1.109500587
15,24,1.609460771
15,25,1.609460771
15,26,0.087114338
15,27,0.058823529
15,28,0.105263158
15,29,0.579917091
15,31,1.122211499
15,32,0.490200204
15,33,0.382263938
15,34,0.357857532
15,35,0.467175531
15,36,0.096774194
15,37,0.264330545
15,38,0.693874079
15,39,0.185185185
15,40,0.096774194
15,41,0.034482759
15,42,0.988576066
15,43,0.086080586
15,44,0.759524441
15,45,0.102977667
15,46,0.093478261
15,47,0.262209333
15,48,0.432680185
15,49,0.614626856
15,50,0.110219084
15,51,0.49366943
15,52,0.047619048
15,53,0.385107677
15,54,0.409054924
15,55,1.476982139
15,56,0.246346843
15,57,0.093073593
15,58,0.256928854
15,59,0.157833941
15,60,0.034482759
15,61,0.064516129
15,62,0.285208138
15,63,0.118398843
15,64,0.316270284
15,65,0.936970006
15,66,0.038461538
15,67,0.102977667
15,68,1.176987145
15,69,0.165855883
15,70,0.103174603
15,71,0.083333333
15,72,0.309364383
15,73,0.505944004
15,74,1.465871028
15,75,1.118820476
15,76,1.396791088
15,77,0.105263158
15,78,1.542794105
15,79,0.499405637
15,80,0.106442577
15,81,0.10799439
16,1,0.117165242
16,2,0.041666667
16,4,0.161579162
16,5,0.055555556
16,6,0.30764268
16,7,0.032258065
16,10,0.16
16,12,0.691393899
16,13,0.032258065
16,14,0.407954545
16,15,0.62208987
16,17,0.032258065
16,18,0.426486799
16,19,1.317887216
16,20,0.883266004
16,21,0.742370603
16,22,0.822725068
16,23,0.844157057
16,24,0.944276105
16,25,1.317887216
16,26,0.127114338
16,29,0.370020302
16,31,0.819768623
16,32,0.153960114
16,33,0.265128205
16,34,0.32622065
16,35,0.267770885
16,37,0.239937304
16,38,0.494297428
16,39,0.037037037
16,41,0.034482759
16,42,0.72550972
16,43,0.150119048
16,44,0.343330003
16,46,0.25025641
16,47,0.10840749
16,48,0.303495481
16,49,0.598276208
16,50,0.066740823
16,51,0.664659084
16,53,0.146603971
16,54,0.309419747
16,55,1.151220549
16,56,0.244686235
16,58,0.037037037
16,59,0.264500607
16,60,0.034482759
16,61,0.066666667
16,62,0.10377786
16,63,0.072944297
16,64,0.260754986
16,65,0.433180431
16,66,0.038461538
16,67,0.038461538
16,68,0.862715379
16,69,0.223232323
16,70,0.04
16,71,0.041666667
16,72,0.332552789
16,73,0.53114928
16,74,1.184553882
16,75,0.823906109
16,76,1.000109438
16,78,1.040109438
16,79,0.190847808
16,80,0.114285714
16,81,0.105263158
17,6,0.032258065
17,7,0.032258065
17,12,0.075736325
17,13,0.032258065
17,15,0.075736325
17,16,0.032258065
17,18,0.032258065
17,19,0.075736325
17,20,0.075736325
17,21,0.075736325
17,22,0.075736325
17,23,0.032258065
17,24,0.075736325
17,25,0.075736325
17,29,0.075736325
17,31,0.043478261
17,33,0.043478261
17,35,0.075736325
17,38,0.032258065
17,42,0.075736325
17,46,0.043478261
17,47,0.032258065
17,49,0.075736325
17,50,0.075736325
17,55,0.075736325
17,59,0.032258065
17,62,0.032258065
17,65,0.043478261
17,69,0.043478261
17,72,0.032258065
17,73,0.032258065
17,74,0.075736325
17,75,0.032258065
17,76,0.075736325
17,78,0.075736325
17,79,0.075736325
18,1,0.194088319
18,4,0.121693122
18,6,0.256937781
18,7,0.032258065
18,8,0.148148148
18,10,0.04
18,12,0.483789633
18,13,0.032258065
18,14,0.081666667
18,15,0.385072127
18,16,0.383409876
18,17,0.032258065
18,19,0.685998053
18,20,0.645998053
